SLV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
545001;Head of State;Edler von Hospdarz;36;PA;Resigned Generalissimo;High;M545001;x
545002;Head of Government;Ladislaus Grusz;36;PA;Political Protege;High;M545002;x
545003;Foreign Minister;Cene Verhonik;36;PA;Great Compromiser;High;M545003;x
545004;Minister of Armament;Danko Urshek;36;PA;Military Entrepreneur;Medium;M545004;x
545005;Minister of Security;Milan Lekse;36;PA;Crime Fighter;Medium;M545005;x
545006;Head of Military Intelligence;Nico Krefel;36;PA;Dismal Enigma;Medium;M545006;x
545007;Chief of Staff;Tivador Stupka;36;PA;School of Defence;Medium;M545007;x
545008;Chief of Army;Joseph Kövess;36;PA;Elastic Defence Doctrine;Medium;M545008;x
545009;Chief of Navy;Friedrich Homberth;36;PA;Open Seas Doctrine;Medium;M545009;x
545010;Chief of Air Force;Gustave Casati;36;PA;Vertical Envelopment Doctrine;Medium;M545010;x
545011;Head of State;Arthur von Straussenburg;36;SC;Die-hard Reformer;High;M545011;x
545012;Head of State;Ales Zupancic;36;LE;Benevolent Gentleman;High;M545012;x
545013;Head of Government;Emil von Brasseur;36;SC;Silent Workhorse;High;M545013;x
545014;Head of Government;Bartolomej Watzke;36;LE;Ambitious Union Boss;High;M545014;x
545015;Foreign Minister;Sveto Hren;41;PA;Biased Intellectual;High;M545015;x
545016;Foreign Minister;Iztok Pretner;36;SC;Iron Fisted Brute;High;M545016;x
545017;Foreign Minister;Edvard Trubar;36;LE;Ideological Crusader;High;M545017;x
545018;Minister of Armament;Zivadin Codamaz;42;PA;laissez-faire capitalist;Medium;M545018;x
545019;Minister of Armament;Julij Orendec;36;SC;Administrative Genius;Medium;M545019;x
545020;Minister of Armament;Gaspar Sorc;36;LE;Theoretical Scientist;Medium;M545020;x
545021;Minister of Armament;Tomasz Gerbajs;42;LE;Strategic Air Proponent;Medium;M545021;x
545022;Minister of Security;Karel Nunet;36;SC;Prince of Terror;Medium;M545022;x
545023;Minister of Security;Hugo Ribic;36;LE;Efficient Sociopath;Medium;M545023;x
545024;Minister of Security;Urban Frelih;41;LE;Silent Lawyer;Medium;M545024;x
545025;Head of Military Intelligence;Lovro Miklavc;36;SC;Industrial Specialist;Medium;M545025;x
545026;Head of Military Intelligence;Primoz Jezik;36;LE;Political Specialist;Medium;M545026;x
545027;Head of Military Intelligence;Vilhjem Donas;42;LE;Technical Specialist;Medium;M545027;x
545028;Chief of Staff;Franz von Ulm;36;SC;School of Mass Combat;Medium;M545028;x
545029;Chief of Staff;Alexander Brosch von Aarenau;36;LE;School of Psychology;Medium;M545029;x
545030;Chief of Army;Gregor Lang;36;SC;Static Defence Doctrine;Medium;M545030;x
545031;Chief of Army;Ernst von Jacobs;36;SC;Guns and Butter Doctrine;Medium;M545031;x
545032;Chief of Navy;Arthur Dannecker;36;SC;Decisive Naval Battle Doctrine;Medium;M545032;x
545033;Chief of Navy;René Imperl;36;LE;Indirect Approach Doctrine;Medium;M545033;x
545034;Chief of Air Force;Alberto von Kodolitsch;36;SC;Army Aviation Doctrine;Medium;M545034;x
545035;Chief of Air Force;Friedrich Mazal;36;LE;Air Superiority Doctrine;Medium;M545035;x
