SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4001;Head of State;Mikhail Kalinin;36;ST;Weary Stiffneck;High;M4001;x
4002;Head of Government;Iosif V. Stalin;36;ST;Backroom Backstabber;High;M4002;x
4003;Foreign Minister;Maksim Litvinov;36;ST;Biased Intellectual;Medium;M4003;x
4004;Minister of Armament;Lazar Kaganovich;36;ST;Resource Industrialist;High;M4004;x
4005;Minister of Security;Genrikh Yagoda;36;ST;Back Stabber;Low;M4005;x
4006;Head of Military Intelligence;Yan Berzin;36;ST;Technical Specialist;Medium;M4006;x
4007;Chief of Staff;Michail N. Tuchatjevskij;36;LE;School of Manoeuvre;Low;M4007;x
4008;Chief of Army;Kliment Y. Voroshilov;36;ST;Guns and Butter Doctrine;Very High;M4008;x
4009;Chief of Navy;Vladimir M. Orlov;36;LE;Indirect Approach Doctrine;Very Low;M4009;x
4010;Chief of Air Force;Yakov I. Alksnis;36;LE;Air Superiority Doctrine;High;M4010;x
4074;Head of State;Iosif V. Stalin;36;ST;Ruthless Powermonger;Very High;M4002;x
4076;Head of State;Vyacheslav Molotov;36;ST;Autocratic Charmer;High;M4034;x
4070;Head of State;Nikolay Shvernik;46;ST;Insignificant Layman;High;M4070;x
4021;Head of State;Alexander Kerensky;36;SL;Die-hard Reformer;High;M4021;x
4031;Head of State;Nikolai Yezhov;36;PA;Barking Buffoon;High;M4031;x
4072;Head of Government;Vyacheslav Molotov;36;ST;Silent Workhorse;High;M4034;x
4075;Head of Government;Lavrenti P. Beria;38;ST;Backroom Backstabber;High;M4041;x
4022;Head of Government;Alexander Kerensky;36;SL;Happy Amateur;High;M4021;x
4032;Head of Government;Nikolai Yezhov;36;PA;Corporate Suit;High;M4031;x
4033;Foreign Minister;Andrey Vyshinsky;36;ST;The Cloak N Dagger Schemer;Very High;M4033;x
4034;Foreign Minister;Vyacheslav Molotov;38;ST;Iron Fisted Brute;High;M4034;x
4035;Foreign Minister;Ivan M. Maisky;43;ST;Apologetic Clerk;High;M4035;x
4036;Minister of Armament;Georgij D. Bazilevich;38;ST;Infantry Proponent;High;M4036;x
4037;Minister of Armament;Dimitry F. Ustinov;41;ST;Theoretical Scientist;High;M4037;x
4038;Minister of Armament;Boris L. Vannikov;42;ST;Military Entrepreneur;Very High;M4038;x
4039;Minister of Security;Nikolai Yezhov;36;ST;Back Stabber;Medium;M4031;x
4040;Minister of Security;Sergej Uritskiy;37;ST;Crime Fighter;Medium;M4040;x
4041;Minister of Security;Lavrenti P. Beria;38;ST;Prince of Terror;Very High;M4041;x
4042;Minister of Security;Andriy G. Orlov;38;ST;Silent Lawyer;Medium;M4042;x
4043;Minister of Security;Sergiy G. Gendin;38;ST;Efficient Sociopath;Medium;M4043;x
4044;Minister of Security;Andriy P. Panfilov;41;ST;Man of the People;Medium;M4044;x
4045;Head of Military Intelligence;Nikolai Yezhov;36;PA;Technical Specialist;Undying;M4031;x
4046;Head of Military Intelligence;Ivan I.Proskurov;37;ST;Dismal Enigma;High;M4046;x
4047;Head of Military Intelligence;Filip I. Golikov;40;ST;Political Specialist;Very High;M4047;x
4048;Head of Military Intelligence;Andriy P. Panfilov;41;ST;Logistics Specialist;High;M4044;x
4049;Head of Military Intelligence;Igor I. Ilichev;42;ST;Industrial Specialist;Very High;M4049;x
4050;Head of Military Intelligence;Fedor F. Kuznetsov;45;ST;Technical Specialist;Very High;M4050;x
4051;Chief of Staff;Boris M. Shaposhnikov;37;ST;School of Mass Combat;Very High;M4051;x
4052;Chief of Staff;Kirill A. Meretskov;40;ST;School of Psychology;High;M4052;x
4053;Chief of Staff;Georgiy K. Zhukov;41;ST;School of Fire Support;Medium;M4028;x
4054;Chief of Staff;Alesandr M. Vasilevskij;42;ST;School of Defence;High;M4054;x
4055;Chief of Staff;Nikolay Bulganin;44;ST;School of Mass Combat;Low;M4055;x
4056;Chief of Staff;Aleksei I. Antonov;45;ST;School of Psychology;Very High;M4056;x
4057;Chief of Staff;Sergei M. Shtemenko;46;ST;School of Manoeuvre;High;M4057;x
4058;Chief of Army;Semen K. Timoshenko;41;ST;Elastic Defence Doctrine;High;M4058;x
4059;Chief of Army;Iosif V. Stalin;41;ST;Guns and Butter Doctrine;Undying;M4002;x
4060;Chief of Army;Rodion Malinovskij;43;ST;Armoured Spearhead Doctrine;High;L10102;x
4061;Chief of Navy;Mikhail V. Viktorov;38;ST;Power Projection Doctrine;Very Low;M4061;x
4062;Chief of Navy;Nikolai Kuznetsov;39;ST;Decisive Naval Battle Doctrine;High;M4029;x
4063;Chief of Navy;Ivan. S. Isakov;40;LE;Base Control Doctrine;Low;M4063;x
4064;Chief of Air Force;Aleksandr D. Loktionov;37;ST;Army Aviation Doctrine;Low;M4064;x
4065;Chief of Air Force;Pavel V. Rychagov;38;ST;Naval Aviation Doctrine;Medium;M4030;x
4066;Chief of Air Force;Yakov V. Smushkevich;36;LE;Army Aviation Doctrine;Medium;M4066;x
4067;Chief of Air Force;Aleksandr E. Golovanov;40;LE;Army Aviation Doctrine;High;M4067;x
4068;Chief of Air Force;Alexander Novikov;42;ST;Air Superiority Doctrine;Very High;M4068;x
4069;Chief of Air Force;Y.V. Vladimiroch;43;ST;Carpet Bombing Doctrine;Medium;M4069;x
4011;Head of State;Andrei Vlasov;36;PA;Resigned Generalissimo;High;M4011;x
4012;Head of Government;Gregori Zhilenkov;36;PA;Political Protege;High;M4012;x
4013;Foreign Minister;Fyodor Bogatyrchuk;36;PA;Great Compromiser;Low;M4013;x
4014;Minister of Armament;Anton Scheglov;36;PA;Military Entrepreneur;Medium;M4014;x
4015;Minister of Security;Vladimir Malyshkin;36;PA;Back Stabber;Very High;M4015;x
4016;Head of Military Intelligence;Mikhail Meandrov;36;PA;Dismal Enigma;Very High;M4016;x
4017;Chief of Staff;Fyodor Trikhin;36;PA;School of Mass Combat;High;M4017;x
4018;Chief of Army;Vitaly Maltsev;36;PA;Decisive Battle Doctrine;Very High;M4018;x
4019;Chief of Navy;P. Drozd;36;PA;Power Projection Doctrine;High;M4019;x
4020;Chief of Air Force;S.A. Chernykh;36;PA;Army Aviation Doctrine;High;M4020;x
4023;Foreign Minister;Dmitri Pavlovich;36;SC;Biased Intellectual;Medium;M4023;x
4024;Minister of Armament;Vladimir Smirnov;36;SL;laissez-faire capitalist;High;M4024;x
4025;Minister of Security;Igor Troubetzkoy;36;SC;Man of the People;Medium;M4025;x
4026;Head of Military Intelligence;Igor Troubetzkoy;36;SC;Technical Specialist;Medium;M4025;x
4027;Chief of Staff;Konstantin K. Rokossovsky;40;LWR;School of Manoeuvre;High;M4027;x
4028;Chief of Army;Georgiy K. Zhukov;36;PA;Decisive Battle Doctrine;Medium;M4028;x
4029;Chief of Navy;Nikolai Kuznetsov;36;PA;Decisive Naval Battle Doctrine;Medium;M4029;x
4030;Chief of Air Force;Pavel V. Rychagov;36;PA;Army Aviation Doctrine;Medium;M4030;x
