SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10001;Head of State;Miguel Cabanellas Ferrer;36;FA;Resigned Generalissimo;High;M10001;x
10002;Head of Government;Fidel Dávila Arrondo;36;FA;Political Protege;High;M10002;x
10003;Foreign Minister;Francisco de Asís Serrat y Bonastre;36;FA;Ideological Crusader;High;M10003;x
10004;Minister of Armament;Gérman Gil y Yuste;36;FA;Infantry Proponent;High;M10004;x
10005;Minister of Security;Miguel Ponte Mansó de Zúñiga;36;PA;Crime Fighter;High;M10005;x
10006;Head of Military Intelligence;Angel Salas Larrázabal;36;FA;Political Specialist;High;M10006;x
10007;Chief of Staff;Fidel Dávila Arrondo;36;FA;School of Psychology;High;M10002;x
10008;Chief of Army;Emilio Mola Vidal;36;FA;Decisive Battle Doctrine;Very High;M10008;x
10009;Chief of Navy;Francisco Moreno Fernández;36;FA;Open Seas Doctrine;High;M10009;x
10010;Chief of Air Force;Alfredo Kindelán Duany;36;PA;Carpet Bombing Doctrine;High;M10010;x
10032;Head of State;Francisco Franco Bahamonde;36;PA;Stern Imperialist;High;L3426;x
10034;Head of State;Javier de Borbón-Parma;36;FA;Autocratic Charmer;High;M10034;x
10038;Head of State;Juan III;41;SC;Benevolent Gentleman;High;M10011;x
10039;Head of State;Alfonso XIII;36;SC;Insignificant Layman;High;M10039;x
10045;Head of Government;Emilio Mola Vidal;36;PA;Old General;High;M10008;x
10046;Head of Government;Francisco Franco Bahamonde;36;PA;Silent Workhorse;High;L3426;x
10048;Head of Government;Tomás Domínguez Arévalo;37;FA;Happy Amateur;High;M10048;x
10049;Head of Government;Manuel Fal Conde;41;FA;Political Protege;High;M10049;x
10050;Head of Government;Manuel Hedilla Larrey;44;FA;Smiling Oilman;High;M10050;x
10054;Head of Government;J.M. Gil-Robles Quiñones;36;PA;Silent Workhorse;High;M10012;x
10055;Head of Government;Gonzalo Queipo de Llano;36;ML;Old General;High;M10055;x
10057;Foreign Minister;Francisco Gómez-Jordana y Souza;36;PA;Biased Intellectual;High;M10057;x
10058;Foreign Minister;Juan Luís Beigbeder Atienza;39;PA;General Staffer;Medium;M10013;x
10059;Foreign Minister;Ramón Serrano Súñer;40;PA;Ideological Crusader;Medium;M10059;x
10060;Foreign Minister;José Lequerica y Erquiza;44;PA;The Cloak N Dagger Schemer;High;M10060;x
10061;Foreign Minister;Alberto M. Artejo-Álvarez;45;PA;Apologetic Clerk;High;M10061;x
10062;Foreign Minister;Tomás Domínguez Arévalo;36;FA;Iron Fisted Brute;High;M10048;x
10063;Foreign Minister;Enrique Plá y Deniel;38;FA;Ideological Crusader;Medium;M10063;x
10064;Foreign Minister;Javier de Borbón-Parma;36;FA;General Staffer;High;M10034;x
10066;Foreign Minister;Victor Pradera;43;FA;Ideological Crusader;High;M10066;x
10067;Foreign Minister;Luís Hernando de Larramendi;46;FA;Biased Intellectual;High;M10067;x
10068;Foreign Minister;Manuel Fal Conde;47;FA;The Cloak N Dagger Schemer;High;M10049;x
10071;Foreign Minister;J. de Areilza y Martínez-Rodas;42;FA;Great Compromiser;High;M10071;x
10072;Foreign Minister;José Luís Arrese Magra;39;FA;Iron Fisted Brute;High;M10072;x
10073;Foreign Minister;Manuel Hedilla Larrey;46;FA;Biased Intellectual;High;M10050;x
10074;Foreign Minister;Raimundo Fernández Cuesta;47;FA;The Cloak N Dagger Schemer;High;M10074;x
10075;Foreign Minister;Ramiro de Maeztu;36;SC;Ideological Crusader;High;M10075;x
10077;Foreign Minister;Francisco de Borbón de la Torre;41;SC;General Staffer;Medium;M10077;x
10080;Foreign Minister;Jacobo Fitz-James Stuart;45;SC;Biased Intellectual;Medium;M10080;x
10081;Foreign Minister;José Yanguas Messía;36;SC;Great Compromiser;High;M11150;x
10082;Foreign Minister;Claudio Sánchez Albornoz;36;ML;Ideological Crusader;High;M11072;x
10083;Foreign Minister;José Martínez de Velasco;37;ML;Iron Fisted Brute;Low;M11110;x
10084;Foreign Minister;Luis Luciá Luciá;38;ML;Biased Intellectual;Low;M11113;x
10085;Foreign Minister;José Ungría Jiménez;40;FA;General Staffer;High;M10085;x
10086;Foreign Minister;Niceto Alcalá-Zamora;41;ML;Great Compromiser;High;M11001;x
10087;Foreign Minister;José de Areilza y Martínez-Rodas;46;ML;The Cloak N Dagger Schemer;High;M10071;x
10088;Minister of Armament;José de Areilza y Martínez-Rodas;36;PA;laissez-faire capitalist;High;M10071;x
10089;Minister of Armament;Ramón Franco Bahamonde;37;PA;Air Superiority Proponent;Medium;M10089;x
10090;Minister of Armament;Fidel Dávila Arrondo;38;PA;Military Entrepreneur;High;M10002;x
10092;Minister of Armament;Nicolás Franco Bahamonde;36;PA;Battle Fleet Proponent;Very High;M10092;x
10093;Minister of Armament;Joaquin Benjumea Búrin;41;FA;Resource Industrialist;High;M10093;x
10094;Minister of Armament;José Larraz Lopez;39;FA;laissez-faire capitalist;High;M11139;x
10096;Minister of Armament;Mariano Ansó;46;PA;Air to Ground Proponent;Medium;M10096;x
10097;Minister of Armament;Joaquín Bau Nolla;37;FA;Administrative Genius;Medium;M10095;x
10098;Minister of Armament;Luís Hernando de Larramendi;39;FA;Resource Industrialist;High;M10067;x
10102;Minister of Armament;José María Lammamié;45;FA;laissez-faire capitalist;Medium;M10102;x
10103;Minister of Armament;Victor Pradera;46;FA;Theoretical Scientist;High;M10066;x
10047;Minister of Armament;J.A. Primo de Rivera de Heredia;36;FA;Resource Industrialist;High;M10036;x
10105;Minister of Armament;Raimundo Fernández Cuesta;37;FA;laissez-faire capitalist;High;M10105;x
10106;Minister of Armament;Manuel Hedilla Larrey;38;FA;Military Entrepreneur;High;M10050;x
10107;Minister of Armament;Onésimo Redondo Ortega;39;FA;Tank Proponent;High;M10107;x
10109;Minister of Armament;Sancho Dávila;41;FA;Infantry Proponent;Medium;M10109;x
10110;Minister of Armament;Agustín Aznar Guerner;42;FA;Air to Ground Proponent;Medium;M10110;x
10111;Minister of Armament;José Calvo-Sotelo;70;PA;laissez-faire capitalist;Very High;M11014;x
10112;Minister of Armament;José Enrique Varela Iglesias;36;SC;Military Entrepreneur;High;M10014;x
10113;Minister of Armament;Juan March Ordinas;36;SC;Administrative Genius;High;M10113;x
10115;Minister of Armament;Juan Ignacio Luca de Tena;39;SC;laissez-faire capitalist;Medium;M10115;x
10117;Minister of Armament;Alfredo Kindelán Duany;37;PA;Strategic Air Proponent;High;M10010;x
10118;Minister of Armament;Juan Vigón Suerodíaz;38;SC;Theoretical Scientist;High;M10118;x
10120;Minister of Armament;Francisco de Borbón de la Torre;38;SC;Tank Proponent;Medium;M10077;x
10121;Minister of Armament;Diego Hidalgo Dúran;36;ML;Military Entrepreneur;High;M11101;x
10123;Minister of Armament;Emilio Herrera;41;ML;Air Superiority Proponent;High;M11145;x
10124;Minister of Armament;Joaquín Chapaprieta Torregosa;42;ML;Resource Industrialist;High;M11155;x
10125;Minister of Armament;José María Gil-Robles Quiñones;43;ML;Resource Industrialist;High;M10012;x
10126;Minister of Armament;Luis Luciá Luciá;44;ML;Theoretical Scientist;Low;M11113;x
10127;Minister of Security;Pedro Sáinz Rodríguez;36;FA;Man of the People;High;M10127;x
10128;Minister of Security;Severiano Martínez Anido;39;PA;Prince of Terror;Medium;M10128;x
10129;Minister of Security;Dionisio Ridruejo;38;PA;Back Stabber;Medium;M10129;x
10130;Minister of Security;Blas Pérez González;42;PA;Silent Lawyer;High;M10130;x
10131;Minister of Security;José Millán Astray;41;PA;Efficient Sociopath;Medium;M10131;x
10132;Minister of Security;Valentín Galarza Morante;40;PA;Man of the People;High;M10132;x
10134;Minister of Security;Luis Valdés Cavanillas;42;PA;Prince of Terror;High;M10134;x
10135;Minister of Security;Tomás Garciano Goñi;36;PA;Compassionate Gentleman;Medium;M10135;x
10137;Minister of Security;Tomás Domínguez Arévalo;37;FA;Prince of Terror;High;M10099;x
10139;Minister of Security;Manuel Fal Conde;42;FA;Man of the People;High;M10049;x
10140;Minister of Security;José María Lammamié;44;FA;Efficient Sociopath;Medium;M10102;x
10141;Minister of Security;Agustín Aznar Guerner;36;FA;Back Stabber;Medium;M10110;x
10142;Minister of Security;Ramiro Ledesma Ramos;38;FA;Silent Lawyer;High;M10069;x
10143;Minister of Security;Pilar Primo de Rivera;42;FA;Prince of Terror;High;M10037;x
10146;Minister of Security;Raimundo Fernández Cuesta;45;FA;Man of the People;High;M10074;x
10147;Minister of Security;José Luís Arrese Magra;46;FA;Crime Fighter;High;M10072;x
10148;Minister of Security;Jacobo Fitz-James Stuart;36;SC;Compassionate Gentleman;Medium;M10080;x
10149;Minister of Security;José Yanguas Messía;39;SC;Efficient Sociopath;High;M11150;x
10150;Minister of Security;José Martínez de Velasco;41;SC;Crime Fighter;Low;M11110;x
10151;Minister of Security;Andrés Saliquet Zumeta;42;SC;Man of the People;Medium;M10015;x
10154;Minister of Security;Miguel Cabanellas Ferrer;36;SC;Crime Fighter;High;M10001;x
10156;Minister of Security;Gonzalo Queipo de Llano;37;ML;Man of the People;High;M10055;x
10157;Minister of Security;Miguel Maura Gamazo;44;ML;Compassionate Gentleman;High;M11073;x
10159;Head of Military Intelligence;Antonio Barroso Sánchez-Guerra;39;PA;Logistics Specialist;High;M10159;x
10160;Head of Military Intelligence;Juan Vigón Suerodíaz;39;PA;Technical Specialist;High;M10118;x
10162;Head of Military Intelligence;José Ungría Jiménez;36;PA;Industrial Specialist;High;M10085;x
10163;Head of Military Intelligence;Isidro Gomá y Tomás;36;FA;Dismal Enigma;High;M10065;x
10164;Head of Military Intelligence;Joaquín Bau Nolla;41;FA;Political Specialist;Medium;M10095;x
10165;Head of Military Intelligence;Luís Hernando de Larramendi;43;FA;Technical Specialist;High;M10067;x
10166;Head of Military Intelligence;Ricardo de Rada;37;FA;Logistics Specialist;High;M10166;x
10168;Head of Military Intelligence;Manuel Hedilla Larrey;36;FA;Political Specialist;High;M10050;x
10169;Head of Military Intelligence;José Luís Arrese Magra;39;FA;Dismal Enigma;High;M10072;x
10170;Head of Military Intelligence;Dionisio Ridruejo;42;FA;Technical Specialist;Medium;M10129;x
10171;Head of Military Intelligence;Onésimo Redondo Ortega;43;FA;Logistics Specialist;High;M10107;x
10173;Head of Military Intelligence;Enrique Plá y Deniel;36;SC;Political Specialist;Medium;M10063;x
10177;Head of Military Intelligence;Luis Orgaz Yoldi;36;SC;Logistics Specialist;High;M10016;x
10178;Head of Military Intelligence;Ricardo Samper Ibáñez;36;ML;Political Specialist;Medium;M11104;x
10179;Head of Military Intelligence;Juan March Ordinas;39;ML;Dismal Enigma;High;M10113;x
10180;Head of Military Intelligence;Diego Hidalgo Dúran;40;ML;Logistics Specialist;High;M11101;x
10181;Head of Military Intelligence;Luis Luciá Luciá;41;ML;Technical Specialist;Low;M11113;x
10182;Head of Military Intelligence;Joaquín Chapaprieta Torregosa;43;ML;Industrial Specialist;High;M11155;x
