SUD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
555001;Head of State;Sir George Stewart Symes;36;ML;Resigned Generalissimo;High;M555001;x
555002;Head of Government;Sir Herbert J. Huddleston;36;ML;Political Protege;High;M555002;x
555003;Foreign Minister;Laurent A. Bonneway;36;ML;Biased Intellectual;High;M555003;x
555004;Minister of Armament;Hubert Latham;36;ML;Submarine Proponent;Medium;M555004;x
555005;Minister of Security;William McCraddock;36;ML;Man of the People;Medium;M555005;x
555006;Head of Military Intelligence;George J. Hawkesworth;36;ML;Dismal Enigma;Medium;M555006;x
555007;Chief of Staff;Charles L. Norman;36;ML;School of Fire Support;Medium;M555007;x
555008;Chief of Army;Sir George Stewart Symes;36;ML;Static Defence Doctrine;Medium;M555001;x
555009;Chief of Navy;H.T.S. Collins;36;ML;Open Seas Doctrine;Medium;L410013;x
555010;Chief of Air Force;Clement Robertson;36;ML;Army Aviation Doctrine;Medium;M555010;x
555011;Head of State;Lawrence McSturie;36;PA;Benevolent Gentleman;High;M555011;x
555012;Head of State;Ismael Alazhari;36;SD;Pig-headed Isolationist;High;M555012;x
555013;Head of Government;Alister Fitzhugh;36;PA;Backroom Backstabber;High;M555013;x
555014;Head of Government;Abdella Bey Khaleel;36;SD;Flamboyant Tough Guy;High;M555014;x
555015;Foreign Minister;Hugh de L'Isle Vincent;36;PA;Great Compromiser;High;M555015;x
555016;Foreign Minister;Mohammed Ahmed Mahjoob;36;SD;Iron Fisted Brute;High;M555016;x
555017;Minister of Armament;Archibald Farrington-Jones;41;ML;laissez-faire capitalist;Medium;M555017;x
555018;Minister of Armament;Norman Warrington;36;PA;Military Entrepreneur;Medium;M555018;x
555019;Minister of Armament;dr. Aljazooli Daffa'alla;36;SD;Theoretical Scientist;Medium;M555019;x
555020;Minister of Armament;Slah Elzubir;42;SD;Strategic Air Proponent;Medium;M555020;x
555021;Minister of Security;Walter Haworth;40;ML;Compassionate Gentleman;Medium;M555021;x
555022;Minister of Security;Leonard Elsmore;36;PA;Crime Fighter;Medium;M555022;x
555023;Minister of Security;Rasheed Altahir Bakr;36;SD;Crooked Kleptocrat;Medium;M555023;x
555024;Minister of Security;Farik Ibrahim Abboud;42;SD;Silent Lawyer;Medium;M555024;x
555025;Head of Military Intelligence;Edward Brook Haslam;42;ML;Industrial Specialist;Medium;M555025;x
555026;Head of Military Intelligence;Terrence Graham;36;PA;Naval Intelligence Specialist;Medium;M555026;x
555027;Head of Military Intelligence;Hugh Laverton;41;PA;Political Specialist;Medium;M555027;x
555028;Head of Military Intelligence;Mohammed Ahmad Yasin;36;SD;Logistics Specialist;Medium;M555028;x
555029;Chief of Staff;Arthur Drummond Burton;36;PA;School of Mass Combat;Medium;M555029;x
555030;Chief of Staff;Ibrahim Ahmed Abboud;36;SD;School of Manoeuvre;Medium;M555030;x
555031;Chief of Army;Sir Richard Craddock;43;ML;Decisive Battle Doctrine;Medium;M555031;x
555032;Chief of Army;Arthur J. Bennett;36;PA;Armoured Spearhead Doctrine;Medium;M555032;x
555033;Chief of Army;Ibrahim Ahmed Abboud;36;SD;Elastic Defence Doctrine;Medium;M555030;x
555034;Chief of Navy;Ian Trelawny;36;PA;Decisive Naval Battle Doctrine;Medium;L320016;x
555035;Chief of Navy;Babiker Awadalla;36;SD;Base Control Doctrine;Medium;M555035;x
555036;Chief of Air Force;Horace R. Campbell;36;PA;Naval Aviation Doctrine;Medium;M555036;x
555037;Chief of Air Force;Seralkhatim Alkhalifa;36;SD;Vertical Envelopment Doctrine;Medium;M555037;x
