SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
7001;Head of State;Gustav V;36;SC;Pig-headed Isolationist;High;M7001;x
7002;Head of Government;Axel Pehrsson-Bramstorp;36;SL;Happy Amateur;High;M7002;x
7003;Foreign Minister;Karl G. Westman;36;SL;Apologetic Clerk;Very High;M7003;x
7004;Minister of Armament;Vilmar Ljungdahl;36;SL;Tank Proponent;Very High;M7004;x
7005;Minister of Security;Thorwald Bergquist;36;SL;Compassionate Gentleman;Very High;M7005;x
7006;Head of Military Intelligence;Carlos Adlercreutz;36;SC;Political Specialist;High;M7068;x
7007;Chief of Staff;Oscar Nygren;36;SC;School of Defence;Medium;M7007;x
7008;Chief of Army;Oscar Nygren;36;SC;Guns and Butter Doctrine;Medium;M7007;x
7009;Chief of Navy;Charles de Champs;36;PA;Decisive Naval Battle Doctrine;Very Low;M7009;x
7010;Chief of Air Force;Torsten Friis;36;ML;Army Aviation Doctrine;Very High;M7010;x
7031;Head of State;Gustav V;36;SD;Pig-headed Isolationist;High;M7001;x
7033;Head of Government;Per Albin Hansson;36;SD;Ambitious Union Boss;High;M7033;x
7034;Head of Government;Tage Erlander;46;SD;Political Protege;High;M7034;x
7035;Head of Government;Gösta Bagge;42;ML;Smiling Oilman;High;M7035;x
7036;Head of Government;Axel Pehrsson-Bramstorp;38;SL;Happy Amateur;High;M7002;x
7037;Head of Government;Bertil Ohlin;45;SL;Corporate Suit;High;M7037;x
7038;Foreign Minister;Richard Sandler;36;SD;Biased Intellectual;Low;M7038;x
7039;Foreign Minister;Christian Günther;40;SC;Apologetic Clerk;High;M7039;x
7040;Foreign Minister;Östen Undén;45;SD;Great Compromiser;High;M7040;x
7041;Foreign Minister;Per Edvin Sköld;36;SD;Ideological Crusader;Medium;M7041;x
7042;Foreign Minister;Vilhelm Göran Lundvik;37;SL;Biased Intellectual;High;M7042;x
7043;Foreign Minister;R. Reson Sohlmann;38;SL;Iron Fisted Brute;High;M7043;x
7044;Foreign Minister;Per E.G. Insulander;39;SL;General Staffer;High;M7044;x
7045;Foreign Minister;Georg Andrén;45;SC;Ideological Crusader;High;M7045;x
7046;Foreign Minister;Axel Pehrsson-Bramstorp;40;SL;The Cloak N Dagger Schemer;Very High;M7002;x
7047;Minister of Armament;Ernst Wigforss;36;SD;Resource Industrialist;Low;M7047;x
7048;Minister of Armament;Gustav Möller;36;SD;laissez-faire capitalist;Medium;M7048;x
7049;Minister of Armament;Gustav Cassel;37;ML;Administrative Genius;Medium;M7049;x
7050;Minister of Armament;Erik Palmstierna;37;SD;Battle Fleet Proponent;Medium;M7050;x
7051;Minister of Armament;Ernst Trygger;38;ML;Theoretical Scientist;Medium;M7051;x
7052;Minister of Armament;Erik Einar Ekstrand;39;ML;Submarine Proponent;Medium;M7052;x
7053;Minister of Armament;Gösta Bagge;40;ML;Resource Industrialist;Medium;M7035;x
7054;Minister of Armament;Östen Undén;41;LWR;Infantry Proponent;Medium;M7054;x
7055;Minister of Armament;Bertil Ohlin;44;SL;Military Entrepreneur;Medium;M7037;x
7056;Minister of Armament;Martin Skoglund;40;ML;laissez-faire capitalist;High;M7056;x
7057;Minister of Armament;Fritjof Domö;45;ML;Administrative Genius;High;M7057;x
7058;Minister of Security;Karl Schlyter;36;SD;Silent Lawyer;High;M7058;x
