SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
528001;Head of State;Muhammed Bey al-Abid;36;SL;Stern Imperialist;High;M528001;x
528002;Head of Government;Damien Comte de Martel;36;SL;Ambitious Union Boss;High;M528002;x
528003;Foreign Minister;Jamil Mardam Bay;36;SL;Great Compromiser;High;M528003;x
528004;Minister of Armament;Faris al-Khouri;36;SL;Air to Ground Proponent;Medium;M528004;x
528005;Minister of Security;Yves Morandat;36;SL;Crooked Kleptocrat;Medium;M528005;x
528006;Head of Military Intelligence;Damien Comte de Martel;36;SL;Logistics Specialist;Medium;M528002;x
528007;Chief of Staff;Henri Amiel;36;SL;School of Manoeuvre;Medium;M528007;x
528008;Chief of Army;Gabriel Puaux;36;SL;Armoured Spearhead Doctrine;Medium;M528008;x
528009;Chief of Navy;Yves Carré de Lusancay;36;SL;Base Control Doctrine;Medium;M528009;x
528010;Chief of Air Force;Christian Coudray;36;SL;Naval Aviation Doctrine;Medium;M528010;x
528011;Head of State;Shaykh Muhammed al-Zawahri;36;PA;Autocratic Charmer;High;M528011;x
528012;Head of State;Hassim al-Atassi;36;SL;Insignificant Layman;High;M528012;x
528013;Head of State;Bahij ad din al-Khatib;39;SL;Barking Buffoon;High;M528013;x
528014;Head of State;Shaykh Taj ad-din al-Hasani;41;SC;Weary Stiffneck;High;M528014;x
528015;Head of State;Shukri al-Kuwaitli;43;SL;Benevolent Gentleman;High;M528015;x
528016;Head of State;Lufti al-Haffar;36;SC;Die-hard Reformer;High;M528016;x
528017;Head of Government;Henri Dentz;36;PA;Old General;High;L24059;x
528018;Head of Government;Gabriel Puaux;38;SL;Silent Workhorse;High;M528008;x
528019;Head of Government;Georges Catroux;41;SL;Old General;High;L24029;x
528020;Head of Government;Yves Chataigneau;43;SL;Corporate Suit;High;M528020;x
528021;Head of Government;Shukri al-Kuwaitli;45;SL;Backroom Backstabber;High;M528015;x
528022;Head of Government;Jamil Mardam Bay;36;ML;Political Protege;High;M528003;x
528023;Foreign Minister;Faris al-Khouri;36;PA;The Cloak N Dagger Schemer;High;M528004;x
528024;Foreign Minister;Shaykh Muhammed al-Gawzi;41;SL;General Staffer;High;M528024;x
528025;Foreign Minister;Lufti al-Haffar;43;SL;Iron Fisted Brute;High;M528016;x
528026;Foreign Minister;Saadallah al-Jabiri;45;SL;The Cloak N Dagger Schemer;High;M528026;x
528027;Foreign Minister;Shaykh Mustafa al-Maraghi;36;SC;Great Compromiser;High;M528027;x
528028;Minister of Armament;Yves Morandat;36;PA;Air Superiority Proponent;Medium;M528005;x
528029;Minister of Armament;Shaykh Muhammed al-Shinnawi;38;SL;Infantry Proponent;Medium;M528029;x
528030;Minister of Armament;Shaykh Abd al-Alim Selim;41;SL;Military Entrepreneur;Medium;M528030;x
528031;Minister of Armament;Michel Maurice-Bokanowski;44;SL;Tank Proponent;Medium;M528031;x
528032;Minister of Armament;Paul Leistenschneider;46;SL;laissez-faire capitalist;Medium;M528032;x
528033;Minister of Armament;Shaykh Mustafa al-Maraghi;39;SC;Air to Ground Proponent;Medium;M528027;x
528034;Minister of Security;Shaykh Mustafa al-Maraghi;36;PA;Back Stabber;Medium;M528027;x
528035;Minister of Security;Mustafa al-Atassi;39;SL;Man of the People;Medium;M528035;x
528036;Minister of Security;André Salvat;41;SL;Crime Fighter;Medium;M528036;x
528037;Minister of Security;Jamil Chakrura;43;SL;Back Stabber;Medium;M528037;x
528038;Minister of Security;Jean Abdel Foukha;45;SL;Compassionate Gentleman;Medium;M528038;x
528039;Minister of Security;Faris al-Khouri;36;SC;Man of the People;Medium;M528004;x
528040;Head of Military Intelligence;Henri Dentz;38;PA;Logistics Specialist;Medium;L24059;x
528041;Head of Military Intelligence;Gabriel Puaux;38;SL;Industrial Specialist;Medium;M528008;x
528042;Head of Military Intelligence;Georges Catroux;41;SL;Dismal Enigma;Medium;L24029;x
528043;Head of Military Intelligence;Yves Chataigneau;43;SL;Political Specialist;Medium;M528020;x
528044;Head of Military Intelligence;Shaykh Muhammed al-Gawzi;36;SC;Industrial Specialist;Medium;M528024;x
528045;Chief of Staff;Henri Dentz;36;PA;School of Defence;Medium;L24059;x
528046;Chief of Staff;Lucien Cambas;41;SL;School of Manoeuvre;Medium;M528046;x
528047;Chief of Staff;Hussein al-Zaim;45;SL;School of Mass Combat;Medium;M528047;x
