TEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
571001;Head of State;James Burr V. Allred;36;PA;Ruthless Powermonger;High;M571001;x
571002;Head of Government;William Lee O'Daniel;36;PA;Political Protege;High;M571002;x
571003;Foreign Minister;J.T. Renfrew;36;PA;The Cloak N Dagger Schemer;High;M571003;x
571004;Minister of Armament;Jesse H. Jones;36;PA;Resource Industrialist;Medium;M571004;x
571005;Minister of Security;Oscar F. Holcomb;36;PA;Man of the People;Medium;M571005;x
571006;Head of Military Intelligence;Otis Massey;36;PA;Dismal Enigma;Medium;M571006;x
571007;Chief of Staff;Harry Knox Jr.;36;PA;School of Fire Support;Medium;M571007;x
571008;Chief of Army;John B. Ricketts;36;PA;Decisive Battle Doctrine;Medium;M571008;x
571009;Chief of Navy;Lee Hugh Pollard III;36;PA;Open Seas Doctrine;Medium;M571009;x
571010;Chief of Air Force;Donal W. Armington;36;PA;Carpet Bombing Doctrine;Medium;M571010;x
571011;Foreign Minister;Lee O. Willard;41;PA;General Staffer;High;M571011;x
571012;Foreign Minister;Coke R. Stevenson;43;PA;Iron Fisted Brute;High;M571012;x
571013;Minister of Armament;Robert L. Dillard;39;PA;Theoretical Scientist;Medium;M571013;x
571014;Minister of Armament;Arthur Tenney Emerson;43;PA;Battle Fleet Proponent;Medium;M571014;x
571015;Minister of Armament;Roy Hofheinz;44;PA;Administrative Genius;Medium;M571015;x
571016;Minister of Armament;John E. Anderson;46;PA;Military Entrepreneur;Medium;M571016;x
571017;Minister of Security;Cornelius Pickett;37;PA;Efficient Sociopath;Medium;M571017;x
571018;Minister of Security;Woodall Rodgers;44;PA;Compassionate Gentleman;Medium;M571018;x
571019;Minister of Security;Michael Alldredge Harlan;45;PA;Crime Fighter;Medium;M571019;x
571020;Minister of Security;George Seargeant;46;PA;Prince of Terror;Medium;M571020;x
571021;Head of Military Intelligence;Sam J. Ervin Jr.;42;PA;Political Specialist;Medium;M571021;x
571022;Head of Military Intelligence;Robert Earl Sherman;45;PA;Industrial Specialist;Medium;M571022;x
571023;Chief of Staff;Larry K. Arnold;42;PA;School of Manoeuvre;Medium;M571023;x
571024;Chief of Staff;Lee O. Willard;44;PA;School of Psychology;Medium;M571011;x
571025;Chief of Army;R.J. Stockman;39;PA;Static Defence Doctrine;Medium;M571025;x
571026;Chief of Army;Myron G. Ashcroft;43;PA;Armoured Spearhead Doctrine;Medium;M571026;x
571027;Chief of Navy;Philip R. Bush;41;PA;Indirect Approach Doctrine;Medium;M571027;x
571028;Chief of Air Force;Richard C. Collins;43;PA;Army Aviation Doctrine;Medium;M571028;x
