TIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
73001;Head of State;Dalai Lama Lhamo Tondup;36;PA;Benevolent Gentleman;High;M73001;x
73002;Head of Government;Reting Rimpoche;36;PA;Old General;High;M73002;x
73003;Foreign Minister;Reting Rimpoche;36;PA;Apologetic Clerk;High;M73002;x
73004;Minister of Armament;Tsepon Shakabpa;36;PA;Corrupt Kleptocrat;High;M73004;x
73005;Minister of Security;Reting Rimpoche;36;PA;Compassionate Gentleman;High;M73002;x
73006;Head of Military Intelligence;W.G. Kundeling;36;PA;Logistics Specialist;High;M73006;x
73007;Chief of Staff;Gyato Wangdu;36;PA;School of Manoeuvre;High;M73007;x
73008;Chief of Army;Tenpa Jamyang;36;PA;Elastic Defence Doctrine;High;M73008;x
73009;Chief of Navy;Chama Samphe;36;PA;Decisive Naval Battle Doctrine;High;M73009;x
73010;Chief of Air Force;Sampo Tsewang Rigzin;36;PA;Army Aviation Doctrine;High;M73010;x
73041;Head of Government;Taktra Rinpoche;41;SC;Backroom Backstabber;Medium;M73041;x
73042;Foreign Minister;Gedun Choephel;36;SC;Biased Intellectual;Medium;M73012;x
73043;Foreign Minister;Kuntsig Shamar Rimpoche;36;PA;Ideological Crusader;Medium;M73043;x
73044;Foreign Minister;Taktra Rinpoche;41;PA;Great Compromiser;Medium;M73041;x
73045;Foreign Minister;Jigme Taring;43;SC;Apologetic Clerk;Medium;M73045;x
73046;Foreign Minister;Gyato Wangdu;43;PA;General Staffer;Medium;M73007;x
73047;Foreign Minister;Gangdhjom Tharchin;44;PA;The Cloak N Dagger Schemer;Medium;M73047;x
73048;Foreign Minister;Dudjom Rimpoche;45;SC;Iron Fisted Brute;Medium;M73048;x
73049;Minister of Armament;Reting Rimpoche;37;PA;laissez-faire capitalist;High;M73002;x
73050;Minister of Armament;Khilsin Tchansal;38;PA;Theoretical Scientist;Medium;M73050;x
73051;Minister of Armament;Chama Samphe;38;PA;Battle Fleet Proponent;High;M73009;x
73052;Minister of Armament;Lhalu Tsewang Dorje;39;SC;Submarine Proponent;Medium;M73019;x
73053;Minister of Armament;Thupthen Ningee;40;SC;Resource Industrialist;Medium;M73014;x
73054;Minister of Armament;Tenpa Jamyang;41;PA;Infantry Proponent;High;M73008;x
73055;Minister of Armament;Bapa Yeshe;42;SC;Air Superiority Proponent;Medium;M73020;x
73056;Minister of Armament;Gyato Wangdu;43;PA;Tank Proponent;High;M73007;x
73057;Minister of Armament;Jigme Taring;44;SC;Military Entrepreneur;Medium;M73045;x
73058;Minister of Armament;Sampo Tsewang Rigzin;44;PA;Air to Ground Proponent;High;M73010;x
73059;Minister of Armament;W.G. Kundeling;45;PA;Administrative Genius;High;M73006;x
73060;Minister of Security;Chama Sanampo;36;SC;Back Stabber;Medium;M73016;x
73061;Minister of Security;Bapa Yeshe;37;SC;Man of the People;Medium;M73020;x
73062;Minister of Security;Chama Samphe;37;PA;Efficient Sociopath;High;M73009;x
73063;Minister of Security;Taktra Rinpoche;38;PA;Compassionate Gentleman;Medium;M73041;x
73064;Minister of Security;Thepon Rananpoi;39;PA;Crime Fighter;Medium;M73064;x
73065;Minister of Security;Tsepon Shakabpa;41;PA;Prince of Terror;High;M73004;x
73066;Minister of Security;Gedun Choephel;43;SC;Silent Lawyer;Medium;M73012;x
73067;Head of Military Intelligence;Tenpa Jamyang;38;PA;Logistics Specialist;High;M73008;x
73068;Head of Military Intelligence;Khilsin Tchansal;41;PA;Technical Specialist;Medium;M73050;x
73069;Head of Military Intelligence;Thupthen Ningee;43;SC;Industrial Specialist;Medium;M73014;x
73070;Head of Military Intelligence;Chama Sanampo;44;SC;Dismal Enigma;Medium;M73016;x
73071;Head of Military Intelligence;Chama Samphe;45;PA;Political Specialist;High;M73009;x
73072;Chief of Staff;Tenpa Jamyang;37;PA;School of Fire Support;High;M73008;x
73073;Chief of Staff;Andruk Gonpo Tashi;38;SC;School of Psychology;Medium;M73017;x
73074;Chief of Staff;Jampal Rabgyé Rinpoche;39;SC;School of Defence;Medium;M73018;x
73076;Chief of Staff;Bapa Yeshe;44;PA;School of Manoeuvre;High;M73020;x
73077;Chief of Army;Bapa Yeshe;36;PA;Elastic Defence Doctrine;High;M73020;x
73078;Chief of Army;Chaghoe Namgyal Dorje;42;PA;Decisive Battle Doctrine;Medium;M73078;x
73079;Chief of Army;Gyato Wangdu;43;PA;Armoured Spearhead Doctrine;High;M73007;x
73080;Chief of Army;Jampal Rabgyé Rinpoche;43;SC;Static Defence Doctrine;Medium;M73018;x
73081;Chief of Army;Khemey Sonam Wangdi;43;PA;Guns and Butter Doctrine;Medium;M73081;x
73082;Chief of Navy;Lhalu Tsewang Dorje;38;SC;Indirect Approach Doctrine;Medium;M73019;x
73083;Chief of Navy;Chaghoe Namgyal Dorje;39;PA;Open Seas Doctrine;Medium;M73078;x
73084;Chief of Air Force;Gyato Wangdu;37;PA;Army Aviation Doctrine;High;M73007;x
73085;Chief of Air Force;Bapa Yeshe;45;SC;Air Superiority Doctrine;Medium;M73020;x
73086;Head of State;Dalai Lama Lhamo Tondup;48;PA;Autocratic Charmer;High;M73086;x
