TRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
523001;Head of State;Arseniy Zverev;36;LWR;Barking Buffoon;High;M523001;x
523002;Head of Government;Vlas Chubar;36;LWR;Smiling Oilman;High;M523002;x
523003;Foreign Minister;Grigory Grinko;36;LWR;Great Compromiser;High;M523003;x
523004;Minister of Armament;Nikolay Bryukhanov;36;LWR;Infantry Proponent;Medium;M523004;x
523005;Minister of Security;Vselevod Merkulov;36;LWR;Back Stabber;Medium;M523005;x
523006;Head of Military Intelligence;Grigorij Sokolnikov;36;LWR;Dismal Enigma;Medium;M523006;x
523007;Chief of Staff;Keldysh Nikitin;36;LWR;School of Defence;Medium;M523007;x
523008;Chief of Army;Osip Fokine;36;LWR;Decisive Battle Doctrine;Medium;M523008;x
523009;Chief of Navy;Rurik Ertelkin;36;LWR;Decisive Naval Battle Doctrine;Medium;L502013;x
523010;Chief of Air Force;Genneadij Abakumov;36;LWR;Army Aviation Doctrine;Medium;M523010;x
523011;Head of State;Mikhail Lazurkin;36;ML;Popular Figurehead;High;M523011;x
523012;Head of State;H.R.H. Igor III. Chavchavadzhe;36;PA;Pig-headed Isolationist;High;M523012;x
523013;Head of Government;Mikhail Serbryakov;36;ML;Silent Workhorse;High;M523013;x
523014;Head of Government;Sergey Bulich;36;PA;Ambitious Union Boss;High;M523014;x
523015;Foreign Minister;Nikolay Voznesensky;36;LWR;Biased Intellectual;High;M523015;x
523016;Foreign Minister;Vsevolod Tomashevsky;36;ML;Apologetic Clerk;High;M523016;x
523017;Foreign Minister;Sergei Bernstein;36;ML;Iron Fisted Brute;High;M523017;x
523018;Foreign Minister;Viktor Fausek;36;PA;Great Compromiser;High;M523018;x
523019;Foreign Minister;Vladimir Orlov;36;PA;Iron Fisted Brute;High;M523019;x
523020;Minister of Armament;Maksim Saburov;36;LWR;Theoretical Scientist;Medium;M523020;x
523021;Minister of Armament;Nikolay Derzhavin;36;ML;Air Superiority Proponent;Medium;M523021;x
523022;Minister of Armament;Nikita Krylov;36;ML;Military Entrepreneur;Medium;M523022;x
523023;Minister of Armament;Dimitrij Golenkov;36;PA;Tank Proponent;Medium;M523023;x
523024;Minister of Armament;Pavel Vorony;36;PA;Battle Fleet Proponent;Medium;M523024;x
523025;Minister of Armament;Dimitri Grabbe-Nikitin;36;PA;Infantry Proponent;Medium;M523025;x
523026;Minister of Security;Gennadij Smirnov;36;LWR;Compassionate Gentleman;Medium;M526026;x
523027;Minister of Security;Viktor Abakumov;36;LWR;Prince of Terror;Medium;M523027;x
523028;Minister of Security;Vladimir Shimkevich;36;ML;Efficient Sociopath;Medium;M523028;x
523029;Minister of Security;Nikita Günther;36;ML;Crime Fighter;Medium;M523029;x
523030;Minister of Security;Alexei Friedmann;36;PA;Prince of Terror;Medium;M523030;x
523031;Minister of Security;Shavrov Nikitin;36;PA;Crime Fighter;Medium;M523031;x
523032;Head of Military Intelligence;Aleksandr Ivanov;36;LWR;Industrial Specialist;Medium;M523032;x
523033;Head of Military Intelligence;Yurtsev Smirnov;36;ML;Technical Specialist;Medium;M523033;x
523034;Head of Military Intelligence;Boris Galerkin;36;ML;Dismal Enigma;Medium;M523034;x
523035;Head of Military Intelligence;Patriarch Tikhon;36;PA;Political Specialist;Medium;M523035;x
523036;Head of Military Intelligence;Gleb Krzhizhanovsky;36;PA;Dismal Enigma;Medium;M523036;x
523037;Chief of Staff;Vasili Chebykimov;36;ML;School of Fire Support;Medium;M523037;x
523038;Chief of Staff;Razak Hadjiev;36;PA;School of Mass Combat;Medium;M523038;x
523039;Chief of Army;Alesksandr Saburov;36;LWR;Elastic Defence Doctrine;Medium;M523039;x
523040;Chief of Army;Volya Borshevski;36;ML;Armoured Spearhead Doctrine;Medium;M523040;x
523041;Chief of Army;Igor Kovlon;36;PA;Static Defence Doctrine;Medium;M523041;x
523042;Chief of Army;Sergei Korovalcheff;36;PA;Guns and Butter Doctrine;Medium;M523042;x
523043;Chief of Navy;Ignatz Dmyrkin;36;ML;Open Seas Doctrine;Medium;L504000;x
523044;Chief of Navy;Dimitriy Sakarski;36;PA;Indirect Approach Doctrine;Medium;M520034;x
523045;Chief of Air Force;Nikifor Gapon;36;ML;Carpet Bombing Doctrine;Medium;M523045;x
523046;Chief of Air Force;Karl Deinhardt;36;PA;Air Superiority Doctrine;Medium;M523046;x
