TUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
532001;Head of State;Ahmad II al-Tunis;36;SL;Ruthless Powermonger;High;M532001;x
532002;Head of Government;Hedi Lakhoue;36;SL;Happy Amateur;High;M532002;x
532003;Foreign Minister;Armand Guillon;36;SL;Great Compromiser;High;M532003;x
532004;Minister of Armament;Slaheddine Bekkouche;36;SL;Tank Proponent;Medium;M532004;x
532005;Minister of Security;M'Hamed Chenik;36;SL;Man of the People;Medium;M532005;x
532006;Head of Military Intelligence;Mustapha Kaak;36;SL;Industrial Specialist;Medium;M532006;x
532007;Chief of Staff;Henri d'Astier de la Vigerie;36;SL;School of Manoeuvre;Medium;M532007;x
532008;Chief of Army;Bohumil Vazac;36;SL;Guns and Butter Doctrine;Medium;M532008;x
532009;Chief of Navy;Jules Evenou;36;SL;Open Seas Doctrine;Medium;M532009;x
532010;Chief of Air Force;Emile Ginas;36;SL;Army Aviation Doctrine;Medium;M532010;x
532011;Head of State;Shaykh Tahar ben Ammar;36;SD;Autocratic Charmer;High;M532011;x
532012;Head of State;Muhammad VII al-Munsif;42;SL;Die-hard Reformer;High;M532012;x
532013;Head of State;Muhammad VIII al-Amin;43;SL;Powerhungry Demagogue;High;M532013;x
532014;Head of State;M'Hamed Chenik;36;SC;Popular Figurehead;High;M532005;x
532015;Head of Government;Habib Bourguiba;36;SD;Ambitious Union Boss;High;M532015;x
532016;Head of Government;M'Hamed Chenik;43;SL;Corporate Suit;High;M532005;x
532017;Head of Government;Slaheddine Bekkouche;43;SL;Smiling Oilman;High;M532004;x
532018;Head of Government;Mustapha Kaak;47;SL;Smiling Oilman;High;M532006;x
532019;Head of Government;Hamouda Shadrani;36;SC;Political Protege;High;M532019;x
532020;Foreign Minister;Bahi Ladgham;36;SD;Great Compromiser;High;M532020;x
532021;Foreign Minister;Erik Labonne;38;SL;Apologetic Clerk;High;M531014;x
532022;Foreign Minister;Jean Pierre Esteva;40;SL;General Staffer;High;L24159;x
532023;Foreign Minister;Charles Emmanuel Mast;43;SL;The Cloak N Dagger Schemer;High;M532023;x
532024;Foreign Minister;Jean Mons;47;SL;Biased Intellectual;High;M532024;x
532025;Foreign Minister;Shaykh Mohammed Jallouli;36;SC;Biased Intellectual;High;M532025;x
532026;Minister of Armament;Taieb Mehiri;36;SD;Battle Fleet Proponent;Medium;M532026;x
532027;Minister of Armament;Roger Alloues;42;SL;Theoretical Scientist;Medium;M532027;x
532028;Minister of Armament;Mohammed Masmoudi;44;SL;Military Entrepreneur;Medium;M532028;x
532029;Minister of Armament;Ali Belhaouane;36;SC;Air Superiority Proponent;Medium;M532029;x
532030;Minister of Security;Mongi Slim;36;SD;Crime Fighter;Medium;M532030;x
532031;Minister of Security;Ferhat Keltoum;43;SL;Compassionate Gentleman;Medium;M532031;x
532032;Minister of Security;Hedi Nouira;36;SC;Back Stabber;Medium;M532032;x
532033;Head of Military Intelligence;Habib Bourguiba;36;SD;Technical Specialist;Medium;M532015;x
532034;Head of Military Intelligence;André Lichtwitz;41;SL;Political Specialist;Medium;M532034;x
532035;Head of Military Intelligence;Hamouda Shadrani;36;SC;Dismal Enigma;Medium;M532019;x
532036;Chief of Staff;Jean Laurent-Champrosay;36;SD;School of Fire Support;Medium;M532036;x
532037;Chief of Staff;Jacques Massu;43;SL;School of Psychology;Medium;M532037;x
532038;Chief of Staff;Jacques Sevestre;36;SC;School of Mass Combat;Medium;M532038;x
532039;Chief of Army;Emile Couladon;43;SL;Decisive Battle Doctrine;Medium;M532039;x
532040;Chief of Army;Henri d'Astier de la Vigerie;36;SC;Static Defence Doctrine;Medium;M532007;x
532041;Chief of Army;Emile Ginas;36;SC;Elastic Defence Doctrine;Medium;M532010;x
532042;Chief of Navy;Djellouli Fares;36;SD;Base Control Doctrine;Medium;M532042;x
532043;Chief of Navy;Jacques Sevestre;43;SL;Indirect Approach Doctrine;Medium;M532038;x
532044;Chief of Navy;Sadok Mokkadem;36;SC;Decisive Naval Battle Doctrine;Medium;M532044;x
532045;Chief of Air Force;Abdallah Farhat;36;SD;Vertical Envelopment Doctrine;Medium;M532045;x
532046;Chief of Air Force;Emile Allegret;43;SL;Carpet Bombing Doctrine;Medium;M532046;x
532047;Chief of Air Force;Ahmed Tlili;36;SC;Naval Aviation Doctrine;Medium;M532047;x
