UAU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65501;Head of State;Robert G. Menzies;36;ML;Stern Imperialist;High;M56037;x
65502;Head of Government;Michael Joseph Savage;36;ML;Silent Workhorse;High;M55002;x
65503;Foreign Minister;William M. Hughes;36;ML;Biased Intellectual;Very High;M56044;x
65504;Foreign Minister;Walter Nash;36;ML;Apologetic Clerk;High;M55004;x
65505;Foreign Minister;Frederick Stewart;36;ML;Ideological Crusader;High;M56046;x
65506;Foreign Minister;Palmer A. McBride;36;ML;Iron Fisted Brute;High;M56042;x
65507;Foreign Minister;Henry S. Gullett;36;ML;Great Compromiser;Medium;M56043;x
65508;Foreign Minister;Vernon Sturdee;36;ML;General Staffer;Medium;M56049;x
65509;Foreign Minister;Gordon Coates;36;ML;The Cloak N Dagger Schemer;High;M55046;x
65510;Minister of Armament;G.A. Street;36;ML;Administrative Genius;High;M56046;x
65511;Minister of Armament;Walter Nash;36;ML;Resource Industrialist;High;M55004;x
65512;Minister of Armament;Ken MacKenzie;36;ML;Theoretical Scientist;High;M55058;x
65513;Minister of Armament;Stanley Melbourne Bruce;36;ML;laissez-faire capitalist;High;M56062;x
65514;Minister of Armament;Norman J. Makin;36;ML;Military Entrepreneur;Medium;M56061;x
65515;Minister of Armament;Henry Showers;36;ML;Battle Fleet Proponent;Medium;M56064;x
65516;Minister of Armament;Guy C.C. Royle;36;ML;Submarine Proponent;Medium;M56068;x
65517;Minister of Armament;Sydney Rowell;36;ML;Tank Proponent;Medium;M56066;x
65518;Minister of Armament;Edward Puttick;36;ML;Infantry Proponent;High;M55059;x
65519;Minister of Armament;Richard Williams;36;ML;Air Superiority Proponent;Medium;M56010;x
65520;Minister of Armament;Jack Henry;36;ML;Corrupt Kleptocrat;Medium;M56024;x
65521;Minister of Armament;W.H. Stratton;36;ML;Air to Ground Proponent;High;M55056;x
65522;Minister of Armament;W.D. Bostock;36;ML;Air to Sea Proponent;High;M56059;x
65523;Minister of Armament;A. de Terrotte Neville;36;ML;Strategic Air Proponent;High;M55055;x
65524;Minister of Security;Thomas Paterson;36;ML;Silent Lawyer;Medium;M56005;x
65525;Minister of Security;Hattil S. Foll;36;ML;Compassionate Gentleman;Medium;M56058;x
65526;Minister of Security;Alexander McLachlan;36;ML;Crime Fighter;High;M56006;x
65527;Minister of Security;Sydney Holland;36;ML;Prince of Terror;Very High;M55039;x
65528;Minister of Security;Herbert V. Evatt;36;ML;Back Stabber;High;M56050;x
65529;Minister of Security;Earle Page;36;ML;Man of the People;Medium;M56048;x
65530;Minister of Security;Kenneth Eather;36;ML;Efficient Sociopath;High;M56078;x
65531;Minister of Security;W.A. Veitch-Milne;36;ML;Crooked Kleptocrat;High;M55015;x
65532;Head of Military Intelligence;John J. Dedman;36;ML;Technical Specialist;High;M56098;x
65533;Head of Military Intelligence;Cyril Bingham-White;36;ML;Logistics Specialist;High;M56093;x
65534;Head of Military Intelligence;Ben Chifley;36;ML;Political Specialist;Very High;M56039;x
65535;Head of Military Intelligence;Kenneth Folkes;36;ML;Dismal Enigma;Medium;M55006;x
65536;Head of Military Intelligence;Norman J. Makin;36;ML;Industrial Specialist;Medium;M56061;x
65537;Head of Military Intelligence;Ragnar M. Colvin;36;ML;Naval Intelligence Specialist;Medium;M56009;x
65538;Chief of Staff;Joseph A. Lyons;36;ML;School of Manoeuvre;Very High;M56002;x
65539;Chief of Staff;James V. Fairbairn;36;ML;School of Fire Support;Medium;M56103;x
65540;Chief of Staff;Cyril Bingham-White;36;ML;School of Mass Combat;High;M56093;x
65541;Chief of Staff;Edward Puttick;36;ML;School of Defence;High;M55059;x
65542;Chief of Staff;John J. Curtin;36;ML;School of Psychology;Very High;M56038;x
65543;Chief of Army;Vernon Sturdee;36;ML;Elastic Defence Doctrine;Medium;M56049;x
65544;Chief of Army;Horace William Strutt;36;ML;Static Defence Doctrine;Medium;M56065;x
65545;Chief of Army;Edward Puttick;36;ML;Decisive Battle Doctrine;High;M55059;x
65546;Chief of Army;J.E. Duigan;36;ML;Armoured Spearhead Doctrine;High;M55060;x
65547;Chief of Army;Sydney Rowell;36;ML;Guns and Butter Doctrine;Medium;M56066;x
65548;Chief of Navy;H.E. Horan;36;ML;Open Seas Doctrine;High;M55085;x
65549;Chief of Navy;Frederick Field;36;ML;Decisive Naval Battle Doctrine;High;M55057;x
65550;Chief of Navy;W.H.Stratton;36;ML;Power Projection Doctrine;High;M55056;x
65551;Chief of Navy;W.E. Parry;36;ML;Indirect Approach Doctrine;High;M55052;x
65552;Chief of Navy;Hector Waller;36;ML;Base Control Doctrine;Medium;M56117;x
65553;Chief of Air Force;Charles Burnett;36;ML;Air Superiority Doctrine;Medium;M56127;x
65554;Chief of Air Force;L.M. Isitt;36;ML;Naval Aviation Doctrine;High;M55050;x
65555;Chief of Air Force;Stanley J. Goble;36;ML;Army Aviation Doctrine;Medium;M56067;x
65556;Chief of Air Force;A.M.G. Jones;36;ML;Carpet Bombing Doctrine;High;M56063;x
65557;Chief of Air Force;A.M. Charlesworth;36;ML;Vertical Envelopment Doctrine;Medium;M56124;x
