UER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65201;Head of State;H.R.H. Kyrill Romanov;36;NS;Stern Imperialist;High;M4080;x
65202;Head of Government;Gregori Zhilenkov;36;NS;Silent Workhorse;High;M4081;x
65203;Foreign Minister;Fedor Chicherin;36;NS;Biased Intellectual;Low;M4097;x
65204;Foreign Minister;Piotr Plehanov;36;NS;Ideological Crusader;Low;M4100;x
65205;Foreign Minister;Boris Chernov;36;NS;Apologetic Clerk;Low;M4099;x
65206;Foreign Minister;Boris Sturmer;36;NS;Iron Fisted Brute;Low;M4096;x
65207;Foreign Minister;Oleg Milyukov;36;NS;Great Compromiser;Low;M4101;x
65208;Foreign Minister;Fyodor Bogatyrchuk;36;NS;General Staffer;Low;M4013;x
65209;Foreign Minister;Georgij Brassov;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
65210;Minister of Armament;Nicholas Krasnov;36;NS;Administrative Genius;Medium;M4104;x
65211;Minister of Armament;Sergei Rodzyanko;36;NS;Resource Industrialist;Medium;M4103;x
65212;Minister of Armament;Yurij Rosenfeld;36;NS;Theoretical Scientist;Medium;M4107;x
65213;Minister of Armament;Anton Scheglov;36;NS;laissez-faire capitalist;Medium;M4014;x
65214;Minister of Armament;Nikolai Maklakov;36;NS;Military Entrepreneur;Medium;M4083;x
65215;Minister of Armament;Lazer Kaganovich;36;NS;Battle Fleet Proponent;High;M4004;x
65216;Minister of Armament;Boris L. Vannikov;36;NS;Submarine Proponent;Very High;M4038;x
65217;Minister of Armament;Aleksandr Vasilevsky;36;NS;Tank Proponent;High;M4076;x
65218;Minister of Armament;Boris Maltcheff;36;NS;Infantry Proponent;Medium;M4109;x
65219;Minister of Armament;Georgij D. Bazilevich;36;NS;Air Superiority Proponent;High;M4036;x
65220;Minister of Armament;Iosif V. Dzhugashvili;36;NS;Corrupt Kleptocrat;Very High;M4002;x
65221;Minister of Armament;Sergei Savinkov;36;NS;Air to Ground Proponent;Medium;M4108;x
65222;Minister of Armament;Boris Komenenov;36;NS;Air to Sea Proponent;Medium;M4105;x
65223;Minister of Armament;Georgij Brassov;36;NS;Strategic Air Proponent;Medium;M4098;x
65224;Minister of Security;Sergei Rodzyanko;36;NS;Silent Lawyer;Very High;M4103;x
65225;Minister of Security;Felix Yussopov;36;NS;Compassionate Gentleman;Very High;M4112;x
65226;Minister of Security;Grigorij R. Semyonov;36;NS;Crime Fighter;Very High;M4111;x
65227;Minister of Security;Vladimir Skobelev;36;NS;Prince of Terror;Very High;M4115;x
65228;Minister of Security;Felix Yussopov;36;NS;Back Stabber;Very High;M4112;x
65229;Minister of Security;Andriy P. Panfilov;36;NS;Man of the People;Medium;M4044;x
65230;Minister of Security;Sergiy G. Gendin;36;NS;Efficient Sociopath;Medium;M4043;x
65231;Minister of Security;Lavrenti P. Beria;36;NS;Crooked Kleptocrat;Very High;M4041;x
65232;Head of Military Intelligence;Nikolai Yezhov;36;NS;Technical Specialist;Undying;M4093;x
65233;Head of Military Intelligence;Anatolij Kaledin;36;NS;Logistics Specialist;Very High;M4120;x
65234;Head of Military Intelligence;Filip I. Golikov;36;NS;Political Specialist;Very High;M4047;x
65235;Head of Military Intelligence;Vsevolod Romanovsky;36;NS;Dismal Enigma;Very High;M4118;x
65236;Head of Military Intelligence;Sergei Sazonov;36;NS;Industrial Specialist;Very High;M4110;x
65237;Head of Military Intelligence;Alexander Kolchak;36;NS;Naval Intelligence Specialist;Very High;M4089;x
65238;Chief of Staff;Mikhail Tukachevsky;36;NS;School of Manoeuvre;High;M4128;x
65239;Chief of Staff;Feliks Romanovsky;36;NS;School of Fire Support;High;M4129;x
65240;Chief of Staff;Fyodor Trikhin;36;NS;School of Mass Combat;High;M4125;x
65241;Chief of Staff;Alexander Kolchak;36;NS;School of Defence;High;M4089;x
65242;Chief of Staff;Kirill A. Meretskov;36;NS;School of Psychology;High;M4052;x
65243;Chief of Army;Andrei Vlasov;36;NS;Elastic Defence Doctrine;Very High;M4090;x
65244;Chief of Army;Igor Belov;36;NS;Static Defence Doctrine;Very High;M4137;x
65245;Chief of Army;Petr Vrangel;36;NS;Decisive Battle Doctrine;Very High;M4124;x
65246;Chief of Army;Alexander Egorov;36;NS;Armoured Spearhead Doctrine;Very High;M4131;x
65247;Chief of Army;Lavrentij Kornilov;36;NS;Guns and Butter Doctrine;Very High;M4087;x
65248;Chief of Navy;Edouard Galler;36;NS;Open Seas Doctrine;High;L10417;x
65249;Chief of Navy;Robert von Wirén;36;NS;Decisive Naval Battle Doctrine;High;M4143;x
65250;Chief of Navy;Alexander Kolchak;36;NS;Power Projection Doctrine;High;M4089;x
65251;Chief of Navy;Oleg Mychelkin;36;NS;Indirect Approach Doctrine;High;M4139;x
65252;Chief of Navy;Konstantin Dushenov;36;NS;Base Control Doctrine;High;L10520;x
65253;Chief of Air Force;Ivan Taube;36;NS;Air Superiority Doctrine;High;M4145;x
65254;Chief of Air Force;Alexander Kolchak;36;NS;Naval Aviation Doctrine;High;M4089;x
65255;Chief of Air Force;Nikolai Kharlamov;36;NS;Army Aviation Doctrine;High;L10472;x
65256;Chief of Air Force;Y.V. Vladimiroch;36;NS;Carpet Bombing Doctrine;Medium;M4069;x
65257;Chief of Air Force;Jurij Alksnis;36;NS;Vertical Envelopment Doctrine;High;M4146;x
