UGS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63201;Head of State;Gustav V;36;ML;Stern Imperialist;High;M7001;x
63202;Head of Government;Toivo M. Kivimäki;36;ML;Silent Workhorse;High;M29002;x
63203;Foreign Minister;Richard Sandler;36;ML;Biased Intellectual;Low;M7038;x
63204;Foreign Minister;Per Edvin Sköld;36;ML;Ideological Crusader;Medium;M7041;x
63205;Foreign Minister;Christian Günther;36;ML;Apologetic Clerk;High;M7039;x
63206;Foreign Minister;R. Reson Sohlmann;36;ML;Iron Fisted Brute;High;M7043;x
63207;Foreign Minister;Östen Undén;36;ML;Great Compromiser;High;M7040;x
63208;Foreign Minister;Per E.G. Insulander;36;ML;General Staffer;High;M7044;x
63209;Foreign Minister;Axel Pehrsson-Bramstorp;36;ML;The Cloak N Dagger Schemer;Very High;M7002;x
63210;Minister of Armament;Gustav Cassel;36;ML;Administrative Genius;Medium;M7049;x
63211;Minister of Armament;Ernst Wigforss;36;ML;Resource Industrialist;Low;M7047;x
63212;Minister of Armament;Ernst Trygger;36;ML;Theoretical Scientist;Medium;M7051;x
63213;Minister of Armament;Gustav Möller;36;ML;laissez-faire capitalist;Medium;M7048;x
63214;Minister of Armament;Bertil Ohlin;36;ML;Military Entrepreneur;Medium;M7037;x
63215;Minister of Armament;Erik Palmstierna;36;ML;Battle Fleet Proponent;Medium;M7050;x
63216;Minister of Armament;Erik Einar Ekstrand;36;ML;Submarine Proponent;Medium;M7052;x
63217;Minister of Armament;Vilmar Ljungdahl;36;ML;Tank Proponent;Very High;M7004;x
63218;Minister of Armament;Urho J. Castrén;36;ML;Infantry Proponent;NA;M29064;x
63219;Minister of Armament;Erik Brofoss;36;ML;Air Superiority Proponent;High;M14054;x
63220;Minister of Armament;Gintare Klumbyte;36;ML;Corrupt Kleptocrat;Medium;M28078;x
63221;Minister of Armament;Hugo Pärtelpoeg;36;ML;Air to Ground Proponent;Medium;M26057;x
63222;Minister of Armament;Jarl Lundqvist;36;ML;Air to Sea Proponent;Very High;M29010;x
63223;Minister of Armament;Georg A. de Gripenberg;36;ML;Strategic Air Proponent;High;M29097;x
63224;Minister of Security;Karl Schlyter;36;ML;Silent Lawyer;High;M7058;x
63225;Minister of Security;Gustav Andersson-Rasjön;36;ML;Compassionate Gentleman;Medium;M7059;x
63226;Minister of Security;K.G. Westman;36;ML;Crime Fighter;Very High;M7003;x
63227;Minister of Security;Richard J. Sandler;36;ML;Prince of Terror;Very High;M7038;x
63228;Minister of Security;Peter G.A. Wijkman;36;ML;Back Stabber;Very High;M7063;x
63229;Minister of Security;Arvid G. Richert;36;ML;Man of the People;Very High;M7066;x
63230;Minister of Security;Yrjö K. Leino;36;ML;Efficient Sociopath;Medium;M29025;x
63231;Minister of Security;August Jürima;36;ML;Crooked Kleptocrat;Medium;M26066;x
63232;Head of Military Intelligence;Berndt R. von Fieandt;36;ML;Technical Specialist;High;M29124;x
63233;Head of Military Intelligence;Toivo M. Kivimäki;36;ML;Logistics Specialist;High;M29002;x
63234;Head of Military Intelligence;Helge Jung;36;ML;Political Specialist;Low;M7006;x
63235;Head of Military Intelligence;Åke Hammerskiöld;36;ML;Dismal Enigma;High;M7070;x
63236;Head of Military Intelligence;Georg A. de Gripenberg;36;ML;Industrial Specialist;High;M29097;x
63237;Head of Military Intelligence;Erik Palmstierna;36;ML;Naval Intelligence Specialist;Medium;M7050;x
63238;Chief of Staff;Carl Gustav Ehrensvärd;36;ML;School of Manoeuvre;Medium;M7076;x
63239;Chief of Staff;Leonard Grandell;36;ML;School of Fire Support;Very High;M29093;x
63240;Chief of Staff;Samuel Åkerhielm;36;ML;School of Mass Combat;Medium;M7074;x
63241;Chief of Staff;Carl G. Mannerheim;36;ML;School of Defence;Very High;M29034;x
63242;Chief of Staff;Axel Bredberg;36;ML;School of Psychology;High;M7075;x
63243;Chief of Army;Axel Rappe;36;ML;Elastic Defence Doctrine;Very Low;M7073;x
63244;Chief of Army;Axel Bredberg;36;ML;Static Defence Doctrine;High;M7075;x
63245;Chief of Army;Carl G. Mannerheim;36;ML;Decisive Battle Doctrine;Very High;M29034;x
63246;Chief of Army;Helge Jung;36;ML;Armoured Spearhead Doctrine;Medium;M7006;x
63247;Chief of Army;Olof Thörnell;36;ML;Guns and Butter Doctrine;Very High;M7072;x
63248;Chief of Navy;Fabian Tamm;36;ML;Open Seas Doctrine;High;M7088;x
63249;Chief of Navy;Gösta Ehrensvärd;36;ML;Decisive Naval Battle Doctrine;Medium;M7087;x
63250;Chief of Navy;Eero Rahola;36;ML;Power Projection Doctrine;High;M29150;x
63251;Chief of Navy;Helge Strömbäck;36;ML;Indirect Approach Doctrine;High;M7089;x
63252;Chief of Navy;Erik Palmstierna;36;ML;Base Control Doctrine;Medium;M7050;x
63253;Chief of Air Force;Bengt Nordenskiöld;36;ML;Air Superiority Doctrine;High;M7070;x
63254;Chief of Air Force;Harald Bruusgaard;36;ML;Naval Aviation Doctrine;Medium;M14091;x
63255;Chief of Air Force;Valio Porvari;36;ML;Army Aviation Doctrine;Very High;M29153;x
63256;Chief of Air Force;Ole Reistad;36;ML;Carpet Bombing Doctrine;Medium;M14094;x
63257;Chief of Air Force;Axel Ljungdahl;36;ML;Vertical Envelopment Doctrine;Very High;M7092;x
