UPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79701;Head of State;Wilhelm III;36;NS;Stern Imperialist;High;M37;x
79702;Head of Government;Milan Hodza;36;NS;Silent Workhorse;High;M24002;x
79703;Foreign Minister;Jan Piekalkiewicz;36;NS;Biased Intellectual;Medium;M13065;x
79704;Foreign Minister;Alfred Rosenberg;36;NS;Ideological Crusader;Very High;M57;x
79705;Foreign Minister;Johann Schwerin von Krosigk;36;NS;Apologetic Clerk;High;M49;x
79706;Foreign Minister;Joachim von Ribbentrop;36;NS;Iron Fisted Brute;High;M55;x
79707;Foreign Minister;Constantin von Neurath;36;NS;Great Compromiser;High;M3;x
79708;Foreign Minister;Oldrich Otamír;36;NS;General Staffer;High;M24058;x
79709;Foreign Minister;Joseph Goebbels;36;NS;The Cloak N Dagger Schemer;Very High;M56;x
79710;Minister of Armament;Hjalmar Schacht;36;NS;Administrative Genius;Medium;M14;x
79711;Minister of Armament;Walter Funk;36;NS;Resource Industrialist;Very High;M80;x
79712;Minister of Armament;Georg Thomas;36;NS;Theoretical Scientist;Low;M98;x
79713;Minister of Armament;Stanislaw Glabinski;36;NS;laissez-faire capitalist;Medium;M13083;x
79714;Minister of Armament;Walter Darré;36;NS;Military Entrepreneur;Very High;M81;x
79715;Minister of Armament;Max Amann;36;NS;Battle Fleet Proponent;Very High;M83;x
79716;Minister of Armament;Hans-Georg von Friedeburg;36;NS;Submarine Proponent;Very High;M93;x
79717;Minister of Armament;Paul Lejeune-Jung;36;NS;Tank Proponent;Medium;M96;x
79718;Minister of Armament;Otokar Sebrin;36;NS;Infantry Proponent;Medium;M24076;x
79719;Minister of Armament;Xaver Dorsch;36;NS;Air Superiority Proponent;Very High;M222;x
79720;Minister of Armament;Robert Ley;36;NS;Corrupt Kleptocrat;High;M88;x
79721;Minister of Armament;Hermann Göring;36;NS;Air To Ground Proponent;Very High;M10;x
79722;Minister of Armament;Albert Speer;36;NS;Air to Sea Proponent;Medium;M43;x
79723;Minister of Armament;Rudolf Hess;36;NS;Strategic Air Proponent;High;M40;x
79724;Minister of Security;Otakar Eischer;36;NS;Silent Lawyer;High;M24087;x
79725;Minister of Security;Viktor Lutze;36;NS;Compassionate Gentleman;Very High;M109;x
79726;Minister of Security;Wladyslaw Raczkiewicz;36;NS;Crime Fighter;Medium;M13005;x
79727;Minister of Security;Wilhelm von Gayl;36;NS;Prince of Terror;High;M15;x
79728;Minister of Security;Johann von Bernstorff;36;NS;Back Stabber;Medium;M121;x
79729;Minister of Security;Arthur Axmann;36;NS;Man of the People;Low;M120;x
79730;Minister of Security;Walter Schellenberg;36;NS;Efficient Sociopath;Low;M124;x
79731;Minister of Security;Karl Hermann Frank;36;NS;Crooked Kleptocrat;Very High;M24011;x
79732;Head of Military Intelligence;Georg Hansen;36;NS;Technical Specialist;Medium;M147;x
79733;Head of Military Intelligence;Carl von Schubert;36;NS;Logistics Specialist;High;M144;x
79734;Head of Military Intelligence;Joseph Jezek;36;NS;Political Specialist;Medium;M24016;x
79735;Head of Military Intelligence;Jan Kowalewski;36;NS;Dismal Enigma;Medium;M13113;x
79736;Head of Military Intelligence;Hans Oster;36;NS;Industrial Specialist;High;M146;x
79737;Head of Military Intelligence;Hans-Georg von Friedeburg;36;NS;Naval Intelligence Specialist;Medium;M93;x
79738;Chief of Staff;Ludwig Beck;36;NS;School of Manoeuvre;High;M7;x
79739;Chief of Staff;Franz Halder;36;NS;School of Fire Support;Medium;M155;x
79740;Chief of Staff;Josef Turanec;36;NS;School of Mass Combat;High;M24119;x
79741;Chief of Staff;Edward Rydz-Smigly;36;NS;School of Defence;High;M13007;x
79742;Chief of Staff;Fritz Bayerlein;36;NS;School of Psychology;High;M159;x
79743;Chief of Army;Erich Ludendorff;36;NS;Elastic Defence Doctrine;High;M179;x
79744;Chief of Army;Otto Bláha;36;NS;Static Defence Doctrine;Medium;M24018;x
79745;Chief of Army;Jan Kowalewski;36;NS;Decisive Battle Doctrine;Low;M13113;x
79746;Chief of Army;Erich Hoepner;36;NS;Armoured Spearhead Doctrine;High;M18;x
79747;Chief of Army;Werner von Blomberg;36;NS;Guns and Butter Doctrine;High;M4;x
79748;Chief of Navy;Jerzy Swirski;36;NS;Open Seas Doctrine;Medium;M13009;x
79749;Chief of Navy;Robert Rychtrmoc;36;NS;Decisive Naval Battle Doctrine;Medium;M24017;x
79750;Chief of Navy;Ferdinand Catlos;36;NS;Power Projection Doctrine;High;M24117;x
79751;Chief of Navy;Karl Dönitz;36;NS;Indirect Approach Doctrine;Very High;M32;x
79752;Chief of Navy;Kurt Freiwald;36;NS;Base Control Doctrine;Medium;M194;x
79753;Chief of Air Force;Carl Friedrich von Siemens;36;NS;Air Superiority Doctrine;High;M208;x
79754;Chief of Air Force;Wilhelm Oxenius;36;NS;Naval Aviation Doctrine;Medium;M210;x
79755;Chief of Air Force;Karl Koller;36;NS;Army Aviation Doctrine;Medium;M205;x
79756;Chief of Air Force;Hugo Sperrle;36;NS;Carpet Bombing Doctrine;High;M203;x
79757;Chief of Air Force;Albert Kesselring;36;NS;Vertical Envelopment Doctrine;High;M207;x
