URU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
41001;Head of State;Gabriel Terra;36;PA;Powerhungry Demagogue;High;M41001;x
41002;Head of Government;Gabriel Terra;36;PA;Smiling Oilman;High;M41001;x
41003;Foreign Minister;José Espalter;36;PA;Iron Fisted Brute;Medium;M41003;x
41004;Minister of Armament;Alfredo Baldomir;36;PA;Military Entrepreneur;Medium;M41004;x
41005;Minister of Security;Heinz Glockenberger;36;PA;Prince of Terror;Medium;M41005;x
41006;Head of Military Intelligence;Cristiano Piraguy Trellés;36;PA;Logistics Specialist;Medium;M41006;x
41007;Chief of Staff;Manuel Heinz Azpurua;36;PA;School of Fire Support;Medium;M41007;x
41008;Chief of Army;Jorge Eloi Mendoza;36;PA;Static Defence Doctrine;Medium;M41008;x
41009;Chief of Navy;Carlos Jackson Urribé;36;PA;Decisive Naval Battle Doctrine;Medium;M41009;x
41010;Chief of Air Force;Cosme Alvaréz Berisso;36;PA;Air Superiority Doctrine;Medium;M41010;x
41031;Head of State;Alfredo Baldomir;38;SC;Resigned Generalissimo;High;M41004;x
41032;Head of State;A. Dres Gustavo;38;SD;Insignificant Layman;High;M41032;x
41033;Head of State;Juan de Amezaga;43;ML;Benevolent Gentleman;High;M41033;x
41034;Head of State;Baltasar Brun;43;SD;Weary Stiffneck;High;M41034;x
41035;Head of State;Tomas Beretta Gandolfo;47;SL;Die-hard Reformer;High;M41035;x
41036;Head of State;Luis Conrado Batlle Beres;47;LWR;Popular Figurehead;High;M41036;x
41037;Head of Government;Alfredo Baldomir;38;SC;Old General;High;M41004;x
41038;Head of Government;A. Dres Gustavo;38;SD;Happy Amateur;High;M41032;x
41039;Head of Government;Juan de Amezaga;43;ML;Corporate Suit;High;M41033;x
41040;Head of Government;Baltasar Brun;43;SD;Old Admiral;High;M41034;x
41041;Head of Government;Tomas Beretta Gandolfo;47;SL;Flamboyant Tough Guy;High;M41035;x
41042;Head of Government;Luis Conrado Batlle Beres;47;LWR;Naive Optimist;High;M41036;x
41043;Foreign Minister;Alberto Guani;38;SC;The Cloak N Dagger Schemer;Medium;M41043;x
41044;Foreign Minister;Baltasar Brun;38;SD;Biased Intellectual;Medium;M41034;x
41045;Foreign Minister;Hector Alberto Gerona;43;ML;Iron Fisted Brute;Medium;M41045;x
41046;Foreign Minister;Washington Beltran;43;SD;Ideological Crusader;Medium;M41046;x
41047;Foreign Minister;José Serrato;47;SL;Apologetic Clerk;Medium;M41047;x
41048;Foreign Minister;Eduardo Rodriguez Larreta;47;SD;Great Compromiser;Medium;M41048;x
41049;Foreign Minister;Emilio Frugoni;47;LWR;The Cloak N Dagger Schemer;Medium;M41021;x
41050;Minister of Armament;Ignacio Justé Morales;37;PA;laissez-faire capitalist;Medium;M41050;x
41051;Minister of Armament;Valentín Gomez;38;SC;Strategic Air Proponent;Medium;M41051;x
41052;Minister of Armament;Leopoldo C. Agorio;38;SD;Theoretical Scientist;Medium;M41052;x
41053;Minister of Armament;Vittorio Amato Masso;39;ML;Tank Proponent;Medium;M41053;x
41054;Minister of Armament;Jorge Elio Mendoza;42;SC;Infantry Proponent;Medium;M41008;x
41055;Minister of Armament;Joaquin Garcia Sanchéz;43;ML;Air to Ground Proponent;Medium;M41055;x
41056;Minister of Armament;Carlos Jackson Urribé;43;SD;Battle Fleet Proponent;Medium;M41009;x
41057;Minister of Armament;Ernesto Sanchez Elizondo;44;SL;Air Superiority Proponent;Medium;M41057;x
41058;Minister of Armament;Julio Cesar Grauer;47;SL;Resource Industrialist;Medium;M41058;x
41059;Minister of Armament;Carlos Neves Ochoa;37;LWR;Submarine Proponent;Medium;M41059;x
41060;Minister of Security;Paulo Ortega Fruscí;37;PA;Back Stabber;Medium;M41060;x
41061;Minister of Security;Horacio Arredondo;38;SC;Man of the People;Medium;M41061;x
41062;Minister of Security;A. Dres Gustavo;38;SD;Prince of Terror;Medium;M41032;x
41063;Minister of Security;Mario Cassinoni;43;ML;Silent Lawyer;Medium;M41063;x
41064;Minister of Security;Juan Carlos Blanco;43;SD;Compassionate Gentleman;Medium;M41064;x
41065;Minister of Security;Alberto Dominguez Campora;44;SL;Prince of Terror;Medium;M41065;x
41066;Minister of Security;Andres Pacheco;47;SL;Efficient Sociopath;Medium;M41066;x
41067;Minister of Security;Jose Pedro Varela;47;SD;Crime Fighter;Medium;M41067;x
41068;Head of Military Intelligence;Antonio de Lara Rivas;36;PA;Industrial Specialist;Medium;M41068;x
41069;Head of Military Intelligence;Julio T. Fernandéz;37;SC;Technical Specialist;Medium;M41069;x
41070;Head of Military Intelligence;Enrique Moutisch;38;SC;Industrial Specialist;Medium;M41070;x
41071;Head of Military Intelligence;Enrique Isoba Álvarez;38;SD;Technical Specialist;Medium;M41026;x
41072;Head of Military Intelligence;Julio Escalona Vasquez;43;ML;Dismal Enigma;Medium;M41072;x
41073;Head of Military Intelligence;Hippolito Gallinal;43;SD;Logistics Specialist;Medium;M41073;x
41074;Head of Military Intelligence;Andres Trueba Martínez;47;SL;Technical Specialist;Medium;M41074;x
41075;Head of Military Intelligence;James McFarlane Rubio;47;LWR;Industrial Specialist;Medium;M41075;x
41077;Chief of Staff;Cantido Quintio Reyes;38;SD;School of Defence;Medium;M41077;x
41078;Chief of Staff;Juan Franki Franque;43;ML;School of Manoeuvre;Medium;M41078;x
41079;Chief of Staff;Julio Cesar Vadora;47;SL;School of Psychology;Medium;M41027;x
41081;Chief of Army;Enrico Amancias Rodriguez;38;SC;Elastic Defence Doctrine;Medium;M41081;x
41082;Chief of Army;Cantido Quintio Reyes;38;SD;Static Defence Doctrine;Medium;M41077;x
41083;Chief of Army;Hector Lopez Camara;43;ML;Guns and Butter Doctrine;Medium;M41083;x
41085;Chief of Army;Eleazar Díaz Caminate;47;SL;Decisive Battle Doctrine;Medium;M41085;x
41088;Chief of Navy;Rafael Marques Ayala;38;SD;Base Control Doctrine;Medium;M41029;x
41089;Chief of Navy;Francisco Suaréz Villablanco;43;ML;Open Seas Doctrine;Medium;M41089;x
41090;Chief of Navy;Carlos Neves Ochoa;43;SD;Indirect Approach Doctrine;Medium;M41059;x
41091;Chief of Navy;A. Martín de la Flores;47;SL;Power Projection Doctrine;Medium;M41091;x
41092;Chief of Navy;Claudio Vio Valdéz;47;SD;Open Seas Doctrine;Medium;M41092;x
41093;Chief of Air Force;Valentín Gomez;38;SC;Carpet Bombing Doctrine;Medium;M41051;x
41094;Chief of Air Force;Alvaro Ledon Gutierrez;38;SD;Air Superiority Doctrine;Medium;M41030;x
41095;Chief of Air Force;Olindo Ojeto Varela;43;ML;Army Aviation Doctrine;Medium;M41095;x
41096;Chief of Air Force;Ernesto Sanchez Elizondo;43;SD;Army Aviation Doctrine;Medium;M41057;x
41097;Chief of Air Force;A. Martín de la Flores;47;SL;Naval Aviation Doctrine;Medium;M41091;x
41098;Chief of Air Force;Manuel Redondo Galván;47;LWR;Vertical Envelopment Doctrine;Medium;M41098;x
41011;Head of State;Abelardo Martínez;36;FA;Stern Imperialist;High;M41011;x
41012;Head of Government;Abelardo Martínez;36;FA;Old Admiral;High;M41011;x
41013;Foreign Minister;Luís Santiago Reguera;36;FA;The Cloak N Dagger Schemer;Medium;M41013;x
41014;Minister of Armament;Abelardo Díaz Alvarez;36;FA;Infantry Proponent;Medium;M41014;x
41015;Minister of Security;Roberto Acosta Díez;36;FA;Crime Fighter;Medium;M41015;x
41016;Head of Military Intelligence;Lui Soro Contioni;36;FA;Industrial Specialist;Medium;M41016;x
41017;Chief of Staff;Teo Bucardí Ramos;36;FA;School of Manoeuvre;Medium;M41017;x
41018;Chief of Army;Teo Bucardí Ramos;36;FA;Elastic Defence Doctrine;Medium;M41017;x
41019;Chief of Navy;Hector Bonilla Gomez;36;FA;Base Control Doctrine;Medium;M41019;x
41020;Chief of Air Force;Francisco Castilla Paredes;36;FA;Army Aviation Doctrine;Medium;M41020;x
41021;Head of State;Emilio Frugoni;36;LWR;Autocratic Charmer;High;M41021;x
41022;Head of Government;Emilio Frugoni;36;LWR;Ambitious Union Boss;High;M41021;x
41023;Foreign Minister;Calixto Aroyo Tabaorda;36;LE;Great Compromiser;Medium;M41023;x
41024;Minister of Armament;Ramón Menendez Súris;36;LE;Infantry Proponent;Medium;M41024;x
41025;Minister of Security;Jesús Menendez Súris;36;LWR;Back Stabber;Medium;M41025;x
41099;Head of State;Andres Trueba Martínez;52;SL;Pig-headed Isolationist;Medium;M41074;x
