USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6001;Head of State;Franklin D. Roosevelt;36;SL;Benevolent Gentleman;High;M6001;x
6002;Head of Government;John Nance Garner;36;SL;Corporate Suit;High;M6002;x
6003;Foreign Minister;Cordell Hull;36;SL;Great Compromiser;High;M6003;x
6077;Minister of Armament;Henry Morgenthau;36;SD;Resource Industrialist;High;M6077;x
6005;Minister of Security;J. Edgar Hoover;36;SL;Crime Fighter;Very High;M6005;x
6006;Head of Military Intelligence;William F. Friedman;36;SL;Logistics Specialist;Very High;M6006;x
6007;Chief of Staff;Malin Craig;36;SL;School of Defence;High;M6007;x
6008;Chief of Army;Malin Craig;36;SL;Armoured Spearhead Doctrine;High;M6007;x
6009;Chief of Navy;Claude A. Swanson;36;SL;Decisive Naval Battle Doctrine;High;M6009;x
6010;Chief of Air Force;Oscar Westover;36;SD;Air Superiority Doctrine;High;M6010;x
6032;Head of State;Henry A. Wallace;40;SL;Benevolent Gentleman;High;M6032;x
6033;Head of State;Warren G. Hooper;44;SL;Ruthless Powermonger;High;M6033;x
6034;Head of State;Harry S. Truman;45;SL;Die-hard Reformer;High;M6034;x
6035;Head of State;Alf M. Landon;36;ML;Pig-headed Isolationist;High;M6035;x
6036;Head of State;Wendell Willkie;40;ML;Autocratic Charmer;High;M6036;x
6037;Head of State;Charles McNary;44;ML;Insignificant Layman;High;M6037;x
6038;Head of State;Thomas E. Dewey;44;ML;Popular Figurehead;High;M6038;x
6039;Head of State;Fritz Kuhn;36;FA;Barking Buffoon;High;M6011;x
6040;Head of State;Gerald K. Smith;36;PA;Powerhungry Demagogue;High;M6040;x
6041;Head of State;Earl Browder;36;ST;Ruthless Powermonger;High;M6041;x
6042;Head of State;Norman Thomas;40;LWR;Insignificant Layman;High;M6021;x
6044;Head of Government;Henry A. Wallace;40;SL;Silent Workhorse;High;M6032;x
6045;Head of Government;Joel B. Clark;40;SL;Backroom Backstabber;High;M6045;x
6046;Head of Government;Harry S. Truman;44;SL;Flamboyant Tough Guy;High;M6034;x
6047;Head of Government;Alben W. Barkley;45;SL;Silent Workhorse;High;M6047;x
6048;Head of Government;Frank Knox;36;ML;Naive Optimist;High;M6048;x
6049;Head of Government;Charles McNary;40;ML;Political Protege;High;M6037;x
6050;Head of Government;John Bricker;44;ML;Corporate Suit;High;M6050;x
6051;Head of Government;Strom Thurmond;45;SC;Old General;High;M6051;x
6052;Head of Government;H.R. Mengert;36;PA;old airmarshal;High;M6052;x
6053;Head of Government;Gerald K. Smith;36;PA;Happy Amateur;High;M6040;x
6054;Head of Government;Dr. Samuel Green;44;PA;Old Admiral;High;M6054;x
6055;Head of Government;William Z. Foster;36;ST;Political Protege;High;M6055;x
6056;Head of Government;James Cannon;40;LWR;Smiling Oilman;High;M6056;x
6057;Head of Government;Joseph P. Lash;44;LE;Naive Optimist;High;M6024;x
6060;Foreign Minister;Edward Stettinius;44;SL;The Cloak N Dagger Schemer;Very High;M6060;x
6061;Foreign Minister;Henry L. Stimson;44;SL;Apologetic Clerk;High;M6061;x
6062;Foreign Minister;Walker Lyerly;44;SL;The Cloak N Dagger Schemer;High;M6062;x
6063;Foreign Minister;James Byrnes;45;SD;Great Compromiser;Very High;M6063;x
6064;Foreign Minister;George C. Marshall;47;SL;Ideological Crusader;High;M6064;x
6066;Foreign Minister;Arthur Vandenberg;36;ML;Iron Fisted Brute;High;M6066;x
6067;Foreign Minister;Alfred E. Smith;40;ML;Apologetic Clerk;High;M6067;x
6068;Foreign Minister;Gerald Nye;44;ML;Biased Intellectual;High;M6068;x
6069;Foreign Minister;Ezra Pound;36;FA;Biased Intellectual;High;M6069;x
6070;Foreign Minister;Charles Coughlin;40;PA;Ideological Crusader;High;M6013;x
6071;Foreign Minister;Lawrence Dennis;44;FA;Apologetic Clerk;High;M6071;x
6072;Foreign Minister;Floyd B. Olson;36;LWR;Ideological Crusader;Low;M6072;x
6073;Foreign Minister;Sam Darcy;37;ST;Ideological Crusader;Low;M6073;x
6074;Foreign Minister;James Paul Warburg;40;LE;Ideological Crusader;High;M6023;x
6075;Foreign Minister;Robert Minor;42;ST;General Staffer;High;M6075;x
6076;Foreign Minister;Eugene Dennis;44;LE;Biased Intellectual;High;M6076;x
6004;Minister of Armament;George H. Dern;36;SD;Military Entrepreneur;High;M6004;x
6078;Minister of Armament;Harry I. Hopkins;38;SL;laissez-faire capitalist;High;M6078;x
6079;Minister of Armament;Jesse H. Jones;40;SL;laissez-faire capitalist;Very High;M6079;x
6080;Minister of Armament;Leroy Grumman;40;SD;Air Superiority Proponent;Very High;M6080;x
6081;Minister of Armament;Preston T. Tucker;44;SL;Strategic Air Proponent;Very High;M6081;x
6082;Minister of Armament;Henry J. Kaiser;44;SL;Administrative Genius;Very High;M6082;x
6083;Minister of Armament;Robert P. Patterson;45;SL;Tank Proponent;High;M6083;x 
6084;Minister of Armament;Kenneth C. Royall;47;SD;laissez-faire capitalist;High;M6084;x 
6085;Minister of Armament;Daniel C. Roper;36;ML;Air Superiority Proponent;Very High;M6085;x
6086;Minister of Armament;James M. Cox;39;ML;Military Entrepreneur;Very High;M6086;x
6088;Minister of Armament;Warren G. Hooper;40;ML;Corrupt Kleptocrat;Low;M6033;x
6089;Minister of Armament;Harry H. Woodring;36;ML;Strategic Air Proponent;High;M6089;x
6090;Minister of Armament;John D. Rockefeller Jr.;44;ML;laissez-faire capitalist;High;M6090;x
