USN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63401;Head of State;Franklin D. Roosevelt;36;ML;Stern Imperialist;High;M6001;x
63402;Head of Government;Alben W. Barkley;36;ML;Silent Workhorse;High;M6047;x
63403;Foreign Minister;Gerald Nye;36;ML;Biased Intellectual;High;M6068;x
63404;Foreign Minister;Newton Wesley Rowell;36;ML;Ideological Crusader;High;M45044;x
63405;Foreign Minister;Alfred E. Smith;36;ML;Apologetic Clerk;High;M6067;x
63406;Foreign Minister;Arthur Vandenberg;36;ML;Iron Fisted Brute;High;M6066;x
63407;Foreign Minister;Mackenzie King;36;ML;Great Compromiser;Undying;M45002;x
63408;Foreign Minister;John Bassett Moore;36;ML;General Staffer;High;M6065;x
63409;Foreign Minister;R.B. Bennett;36;ML;The Cloak N Dagger Schemer;Undying;M45036;x
63410;Minister of Armament;Ian A. MacKenzie;36;ML;Administrative Genius;High;M45004;x
63411;Minister of Armament;Arthur Meighen;36;ML;Resource Industrialist;High;M45056;x
63412;Minister of Armament;James Ralston;36;ML;Theoretical Scientist;High;M45053;x
63413;Minister of Armament;Harry I. Hopkins;36;ML;laissez-faire capitalist;High;M6078;x
63414;Minister of Armament;George H. Dern;36;ML;Military Entrepreneur;High;M6004;x
63415;Minister of Armament;Louis Johnson;36;ML;Battle Fleet Proponent;High;M6092;x
63416;Minister of Armament;Douglas S. Abbott;36;ML;Submarine Proponent;Very High;M45054;x
63417;Minister of Armament;Robert P. Patterson;36;ML;Tank Proponent;High;M6083;x
63418;Minister of Armament;Charles J. Howlett;36;ML;Infantry Proponent;Medium;M45060;x
63419;Minister of Armament;Leroy Grumman;36;ML;Air Superiority Proponent;Very High;M6080;x
63420;Minister of Armament;Warren G. Hooper;36;ML;Corrupt Kleptocrat;Low;M6033;x
63421;Minister of Armament;Tasker Cook;36;ML;Air to Ground Proponent;Medium;M45059;x
63422;Minister of Armament;Preston T. Tucker;36;ML;Strategic Air Proponent;Very High;M6081;x
63423;Minister of Armament;William D. Pelley;36;ML;Air to Sea Proponent;Very High;M6094;x
63424;Minister of Security;Robert H. Jackson;36;ML;Silent Lawyer;Very High;M6108;x
63425;Minister of Security;George W. Stephens;36;ML;Compassionate Gentleman;Medium;M45069;x
63426;Minister of Security;Frank Murphy;36;ML;Crime Fighter;Very High;M6107;x
63427;Minister of Security;William G. Adams;36;ML;Back Stabber;Medium;M45079;x
63428;Minister of Security;Francis B. Biddle;36;ML;Prince of Terror;Very High;M6106;x
63429;Minister of Security;John Diefenbaker;36;ML;Man of the People;High;M45073;x
63430;Minister of Security;Gino Verchiella;36;ML;Efficient Sociopath;Medium;M45082;x
63431;Minister of Security;J. Edgar Hoover;36;ML;Crooked Kleptocrat;Very High;M6005;x
63432;Head of Military Intelligence;Kenneth Stuart;36;ML;Technical Specialist;Very High;M45086;x
63433;Head of Military Intelligence;William F. Friedman;36;ML;Logistics Specialist;Very High;M6006;x
63434;Head of Military Intelligence;Adolf Berle;36;ML;Political Specialist;Very High;M6123;x
63435;Head of Military Intelligence;Vincent Astor;36;ML;Dismal Enigma;Very High;M6124;x
63436;Head of Military Intelligence;Henry J. Kaiser;36;ML;Industrial Specialist;High;M6082;x
63437;Head of Military Intelligence;William G. Adams;36;ML;Naval Intelligence Specialist;Medium;M45079;x
63438;Chief of Staff;Charles Foulkes;36;ML;School of Manoeuvre;Very High;M45103;x
63439;Chief of Staff;George C. Marshall;36;ML;School of Fire Support;High;M6064;x
63440;Chief of Staff;Kenneth Stuart;36;ML;School of Mass Combat;Very High;M45086;x
63441;Chief of Staff;Malin Craig;36;ML;School of Defence;High;M6007;x
63442;Chief of Staff;Henry Crerar;36;ML;School of Psychology;High;M45006;x
63443;Chief of Army;Charles Foulkes;36;ML;Elastic Defence Doctrine;Very High;M45103;x
63444;Chief of Army;Thomas Anderson;36;ML;Static Defence Doctrine;High;M45099;x
63445;Chief of Army;George C. Marshall;36;ML;Decisive Battle Doctrine;High;M6064;x
63446;Chief of Army;Omar N. Bradley;36;ML;Armoured Spearhead Doctrine;High;M6145;x
63447;Chief of Army;Ernest Ashton;36;ML;Guns and Butter Doctrine;Very High;M45007;x
63448;Chief of Navy;Charles Edison;36;ML;Open Seas Doctrine;High;M6154;x
63449;Chief of Navy;William D. Leahy;36;ML;Decisive Naval Battle Doctrine;Very High;M6162;x
63450;Chief of Navy;Ernest J. King;36;ML;Power Projection Doctrine;High;M6163;x
63451;Chief of Navy;Jean Couillard;36;ML;Indirect Approach Doctrine;Medium;M45078;x
63452;Chief of Navy;Frank Knox;36;ML;Base Control Doctrine;High;M6048;x
63453;Chief of Air Force;Joseph Roméo Vachon;36;ML;Air Superiority Doctrine;Medium;M45123;x
63454;Chief of Air Force;Leroy Grumman;36;ML;Naval Aviation Doctrine;High;M6080;x
63455;Chief of Air Force;Carl A. Spaatz;36;ML;Army Aviation Doctrine;Very High;L60557;x
63456;Chief of Air Force;Henry H. Arnold;36;ML;Carpet Bombing Doctrine;High;M6167;x
63457;Chief of Air Force;Hoyt Vandenberg;36;ML;Vertical Envelopment Doctrine;Medium;M6235;x
