VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
38001;Head of State;Eleazar Contreras;36;PA;Barking Buffoon;High;M38001;x
38002;Head of Government;Eleazar Contreras;36;PA;Happy Amateur;High;M38001;x
38003;Foreign Minister;Esteban Gíl Borges;36;PA;Great Compromiser;Medium;M38003;x
38004;Minister of Armament;Pedro Beauperthuy Urich;36;SC;Military Entrepreneur;Low;M38004;x
38005;Minister of Security;Santiago Key Ayala;36;PA;Silent Lawyer;Medium;M38005;x
38006;Head of Military Intelligence;Floriavaldo de Vasquez Linhares;36;PA;Political Specialist;Medium;M38006;x
38007;Chief of Staff;Isaias Medina Angarita;36;SC;School of Defence;Low;M38007;x
38008;Chief of Army;Isaias Medina Angarita;36;SC;Static Defence Doctrine;Low;M38007;x
38009;Chief of Navy;Humberto Santabria Villa;36;PA;Base Control Doctrine;Medium;M38009;x
38010;Chief of Air Force;David Lopez Henriques;36;PA;Army Aviation Doctrine;Medium;M38010;x
38031;Head of State;Isaias Medina Angarita;41;SC;Resigned Generalissimo;High;M38007;x
38032;Head of State;Romulo Betancourt;45;SD;Autocratic Charmer;High;L270001;x
38033;Head of Government;Isaias Medina Angarita;41;SC;Old General;High;M38007;x
38034;Head of Government;Romulo Betancourt;45;SD;Flamboyant Tough Guy;High;L270001;x
38035;Foreign Minister;Carracciola Parra Peréz;41;SC;Apologetic Clerk;Medium;M38035;x
38036;Foreign Minister;Gustavo Herrera Grau;45;ML;Iron Fisted Brute;Medium;M38036;x
38037;Foreign Minister;Carlos Morales Acorzia;45;SD;Iron Fisted Brute;Medium;M38037;x
38038;Foreign Minister;Gonzalo Barrios;47;ML;General Staffer;Medium;M38038;x
38039;Minister of Armament;Don Pedro Grases;38;PA;laissez-faire capitalist;Medium;M38039;x
38040;Minister of Armament;Carlos Ramos Díaz;41;SC;Submarine Proponent;Low;M38040;x
38041;Minister of Armament;Miguel Díaz Fraile;42;SC;Strategic Air Proponent;Low;M38041;x
38042;Minister of Armament;Carlos Molina Talavayo;42;ML;Battle Fleet Proponent;Low;M38042;x
38043;Minister of Armament;Eloy Lares Martinez;43;ML;laissez-faire capitalist;Medium;M38043;x
38044;Minister of Armament;Julio Garcia Jarpa;45;ML;Military Entrepreneur;Medium;M38044;x
38045;Minister of Armament;Jose Vicente Rangel;46;SD;Resource Industrialist;Medium;M38045;x
38046;Minister of Security;Jose Aguerre Vere;36;SC;Efficient Sociopath;Medium;M38046;x
38047;Minister of Security;Antonio Jose Villegas;38;SC;Silent Lawyer;Medium;M38047;x
