VIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
57001;Head of State;Phillipe Petain;36;PA;Resigned Generalissimo;High;M57001;x
57002;Head of Government;Jean-Francois Darlan;36;PA;Old Admiral;High;M57002;x
57003;Foreign Minister;Paul Baudouin;36;PA;Iron Fisted Brute;Medium;M57003;x
57004;Minister of Armament;Marius Berliet;36;PA;laissez-faire capitalist;Medium;M57004;x
57005;Minister of Security;Joseph Barthélemy;36;PA;Silent Lawyer;Medium;M57005;x
57006;Head of Military Intelligence;Rene Bousquet;36;PA;Technical Specialist;Medium;M57006;x
57007;Chief of Staff;Charles Huntziger;36;PA;School of Defence;Medium;M57007;x
57008;Chief of Army;Maxime Weygand;36;PA;Elastic Defence Doctrine;Medium;M57008;x
57009;Chief of Navy;Jean-Francois Darlan;36;PA;Decisive Naval Battle Doctrine;Low;M57002;x
57010;Chief of Air Force;Jean Marie Bergeret;36;PA;Army Aviation Doctrine;Medium;M57010;x
57011;Head of Government;Pierre Laval;42;PA;Flamboyant Tough Guy;High;M57011;x
57012;Foreign Minister;Jean-Francois Darlan;41;PA;General Staffer;Low;M57002;x
57013;Foreign Minister;Charles André Weiss;41;PA;Iron Fisted Brute;Low;M57013;x
57014;Foreign Minister;Albert Thomas;41;PA;The Cloak N Dagger Schemer;Low;M57014;x
57015;Foreign Minister;Pierre Laval;42;PA;Apologetic Clerk;Medium;M57011;x
57016;Foreign Minister;Gabriel Hanoteaux;42;PA;Ideological Crusader;Medium;M57016;x
57017;Foreign Minister;Henri de Jouvenel;43;PA;Biased Intellectual;Medium;M57017;x
57018;Foreign Minister;Arne Leroy;43;PA;Great Compromiser;Medium;M57018;x
57019;Minister of Armament;Tulio Franco Franco;41;PA;Resource Industrialist;Medium;M57019;x
57020;Minister of Armament;Lucien Lacaze;41;PA;Military Entrepreneur;Medium;M57020;x
57021;Minister of Armament;Robert Haas;42;PA;laissez-faire capitalist;Medium;M57021;x
57022;Minister of Armament;Stephane Auphan;42;PA;Air to Sea Proponent;Medium;M57022;x
57023;Minister of Armament;Paul Painleve;43;PA;Administrative Genius;Medium;M57023;x
57024;Minister of Armament;Paul Mantoux;43;PA;Theoretical Scientist;Medium;M57024;x
57025;Minister of Security;Jean-Francois Darlan;40;PA;Back Stabber;Low;M57002;x
57026;Minister of Security;Eduard Herriot;41;PA;Silent Lawyer;Low;M57026;x
57027;Minister of Security;Pierre Laval;42;PA;Prince of Terror;Medium;M57011;x
57028;Minister of Security;Marius Viple;42;PA;Man of the People;Medium;M57028;x
57029;Minister of Security;René Bousquet;42;PA;Compassionate Gentleman;Medium;M57006;x
57030;Minister of Security;Raphael Alibert;43;PA;Crime Fighter;Medium;M57030;x
57031;Minister of Security;Gouffre de Lapradelle;43;PA;Efficient Sociopath;Medium;M57031;x
57032;Head of Military Intelligence;Pierre Laval;42;PA;Political Specialist;Medium;M57011;x
57033;Chief of Staff;Jean-Francois Darlan;41;PA;School of Psychology;Low;M57002;x
57034;Chief of Staff;Eugene Bridoux;42;PA;School of Mass Combat;Medium;M57034;x
57035;Chief of Army;Eugene Bridoux;41;PA;Decisive Battle Doctrine;Medium;M57034;x
57036;Chief of Navy;Jean Esteva;42;PA;Indirect Approach Doctrine;Medium;M57036;x
57037;Chief of Navy;Jean Marie Abrial;43;PA;Open Seas Doctrine;Medium;M57037;x
57038;Chief of Air Force;Maurice Jannekeyn;42;PA;Carpet Bombing Doctrine;Medium;M57038;x
57039;Head of State;Henri de Jouvenel;45;PA;Insignificant Layman;High;M57017;x
57040;Head of Military Intelligence;Gouffre de Lapradelle;45;PA;Industrial Specialist;Medium;M57031;x
