YEM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
93001;Head of State;Yahya al Hamid;36;PA;Stern Imperialist;High;M93001;x
93002;Head of Government;Yahya al Hamid;36;PA;Smiling Oilman;High;M93001;x
93003;Foreign Minister;Yahya al Hamid;36;PA;General Staffer;Very High;M93001;x
93004;Minister of Armament;Ahmad al Hamid;36;PA;Corrupt Kleptocrat;High;M93004;x
93005;Minister of Security;Yahya al Hamid;36;PA;Prince of Terror;Very High;M93001;x
93006;Head of Military Intelligence;Ahmad al Hamid;36;PA;Dismal Enigma;High;M93004;x
93007;Chief of Staff;Yahya al Hamid;36;PA;School of Defence;Very High;M93001;x
93008;Chief of Army;Ahmad al Hamid;36;PA;Armoured Spearhead Doctrine;High;M93004;x
93009;Chief of Navy;Mansur al Badr;36;PA;Power Projection Doctrine;Low;M93009;x
93010;Chief of Air Force;Mansur al Badr;36;PA;Army Aviation Doctrine;Low;M93009;x
93011;Foreign Minister;R.J. McNeill Cushendun;39;SC;Great Compromiser;Medium;M93011;x
93013;Minister of Armament;Alexandre Loveday;40;SC;Infantry Proponent;High;M93013;x
93014;Minister of Armament;Henry R. Dobbs;41;SC;Resource Industrialist;High;M93014;x
93015;Minister of Armament;A.H.C. Rivers;42;SC;Administrative Genius;High;M93015;x
93017;Minister of Security;Leonard A. Lyall;38;SC;Silent Lawyer;High;M93017;x
93018;Minister of Security;Mansur al Badr;45;PA;Crooked Kleptocrat;High;M93009;x
93019;Head of Military Intelligence;Cecil Barrington Hurst;40;SC;Technical Specialist;High;M93019;x
93020;Chief of Staff;R. Montgomerie-Clives;39;SC;School of Mass Combat;Very High;M93020;x
93021;Chief of Staff;Abd al Husseini;45;PA;School of Fire Support;Very High;M93021;x
93022;Chief of Army;R. Montgomerie-Clives;39;SC;Guns and Butter Doctrine;High;M93020;x
93023;Chief of Army;Ted Pointer;42;SC;Decisive Battle Doctrine;High;M93023;x
93024;Chief of Army;Abd al Husseini;45;PA;Elastic Defence Doctrine;High;M93021;x
93025;Chief of Navy;Ian Trelawny;40;SC;Open Seas Doctrine;Low;M93025;x
93026;Chief of Air Force;Ted Pointer;40;SC;Air Superiority Doctrine;Low;M93023;x
93027;Chief of Air Force;Ali Halukeh;45;PA;Vertical Envelopment Doctrine;Low;M93027;x
