YUG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
20001;Head of State;H.R.H. Pavle Karadjordjevic;36;PA;Benevolent Gentleman;High;M20001;x
20002;Head of Government;Milan Stojadinovic;36;PA;Silent Workhorse;High;M20002;x
20003;Foreign Minister;Milan Stojadinovic;36;PA;The Cloak N Dagger Schemer;Medium;M20002;x
20004;Minister of Armament;Boguljub Jevtic;36;PA;Corrupt Kleptocrat;Medium;M20004;x
20005;Minister of Security;H.R.H. Pavle Karadjordjevic;36;PA;Prince of Terror;High;M20001;x
20006;Head of Military Intelligence;Borivoje Josimovic;36;PA;Political Specialist;Medium;L46013;x
20007;Chief of Staff;Petar Kosic;36;PA;School of Mass Combat;Medium;L46015;x
20008;Chief of Army;Aleksandar Cincar-Markovic;36;PA;Decisive Battle Doctrine;Very High;L46005;x
20009;Chief of Navy;Bogoljub Ilic;36;PA;Base Control Doctrine;Very High;L46043;x
20010;Chief of Air Force;Dusan Simovic;36;PA;Army Aviation Doctrine;Medium;L46060;x
20031;Head of State;Josip Broz;36;LWR;Powerhungry Demagogue;High;M20021;x
20032;Head of Government;Dragisa Cvetkovic;39;PA;Naive Optimist;High;M20032;x
20033;Head of Government;Dusan Simovic;41;SC;Happy Amateur;High;M20033;x
20034;Head of Government;Slobodan Jovanovic;42;FA;Political Protege;High;M20034;x
20035;Head of Government;Milos Trifunovic;43;NS;Old General;High;M20035;x
20036;Head of Government;Ivan Subasic;44;ML;Corporate Suit;High;M20014;x
20037;Head of Government;Josip Broz;36;LWR;Backroom Backstabber;High;M20021;x
20038;Head of Government;Vlatko Macek;36;SD;old airmarshal;High;M20038;x
20039;Foreign Minister;Aleksandar Cincar-Markovic;39;PA;General Staffer;Very High;L46005;x
20040;Foreign Minister;Momcilo Nincic;41;SC;Great Compromiser;Medium;M20013;x
20041;Foreign Minister;Slobodan Jovanovic;43;FA;Biased Intellectual;High;M20034;x
20042;Foreign Minister;Milan Grol;43;NS;Apologetic Clerk;High;M20042;x
20043;Foreign Minister;Bozidar Puric;43;NS;Ideological Crusader;High;M20043;x
20044;Foreign Minister;Ivan Subasic;44;ML;Apologetic Clerk;Medium;M20014;x
20045;Foreign Minister;Stanoje Simic;36;LWR;Great Compromiser;Medium;M20023;x
20046;Foreign Minister;Vlatko Macek;36;SD;Apologetic Clerk;Medium;M20038;x
20047;Foreign Minister;Edvard Kardelj;41;SD;Ideological Crusader;Very High;M20047;x
20048;Foreign Minister;Dimitrije Ljotic;43;NS;Iron Fisted Brute;Medium;M20048;x
20049;Minister of Armament;Edo Bogdan Markovic;39;PA;Resource Industrialist;Medium;M20049;x
20050;Minister of Armament;Ladislav Polic;41;SC;laissez-faire capitalist;Medium;M20050;x
20051;Minister of Armament;Anton Kozarev;42;FA;Tank Proponent;Medium;M20051;x
20052;Minister of Armament;Tanasije Tasa Dinic;43;NS;Corrupt Kleptocrat;Medium;M20052;x
20053;Minister of Armament;Petar Ivelich;44;ML;Theoretical Scientist;Medium;M20053;x
20054;Minister of Armament;Milentije Popovic;36;LWR;Resource Industrialist;High;M20024;x
20055;Minister of Armament;Draza Mihailovic;36;SD;Tank Proponent;Medium;M20055;x
20056;Minister of Security;Michel Yovanovic;39;PA;Compassionate Gentleman;Low;M20056;x
20057;Minister of Security;Momcilo Dujic;41;SC;Silent Lawyer;Low;M20015;x
20058;Minister of Security;Petar Grabovski;42;FA;Efficient Sociopath;Low;M20058;x
20059;Minister of Security;Milan Nedic;43;NS;Prince of Terror;Medium;M20059;x
20060;Minister of Security;Spiro Kitinchev;44;NS;Back Stabber;Medium;M20060;x
20061;Minister of Security;Dragoljub Stefanic;44;ML;Crime Fighter;Medium;M20061;x
20062;Minister of Security;Koca Popovic;36;SD;Silent Lawyer;Medium;M20025;x
20063;Head of Military Intelligence;Andrija Stampar;39;PA;Technical Specialist;Medium;M20063;x
20064;Head of Military Intelligence;Djorde Petrelic;41;SC;Industrial Specialist;Medium;M20064;x
20065;Head of Military Intelligence;Dimitar Ckatrov;42;FA;Dismal Enigma;Medium;M20065;x
20066;Head of Military Intelligence;Kosta Ecanec;43;NS;Logistics Specialist;Medium;M20066;x
20067;Head of Military Intelligence;Drogoljub Jovanovic;43;NS;Political Specialist;Medium;M20067;x
20068;Head of Military Intelligence;Mihail Milosajevic;44;ML;Technical Specialist;Medium;M20068;x
20069;Head of Military Intelligence;Aleksandar Rankovic;36;SD;Dismal Enigma;High;M20026;x
20071;Chief of Staff;Radivoje Jankovic;41;SC;School of Fire Support;Low;L46012;x
20072;Chief of Staff;Dimitar Duzelov;42;FA;School of Manoeuvre;Low;M20072;x
20073;Chief of Staff;Marko Bozovic;43;NS;School of Mass Combat;Low;L46002;x
20074;Chief of Staff;Jovan Nikolic;44;ML;School of Psychology;Low;M20074;x
20075;Chief of Staff;Arsa Jovanovic;36;LWR;School of Mass Combat;Medium;M20075;x
20076;Chief of Staff;Draza Mihailovic;36;SD;School of Defence;Medium;M20012;x
20078;Chief of Army;Milutin Nedic;41;SC;Decisive Battle Doctrine;Very High;L46026;x
20079;Chief of Army;Dimitar Duzelov;42;FA;Armoured Spearhead Doctrine;Very High;M20072;x
20080;Chief of Army;Marko Bozovic;43;NS;Elastic Defence Doctrine;Very High;L46002;x
20081;Chief of Army;Jovan Nikolic;44;ML;Guns and Butter Doctrine;Very High;M20074;x
20082;Chief of Army;Draza Mihailovic;36;SD;static defence doctrine;Medium;M20012;x
20084;Chief of Navy;Milutin Nedic;41;SC;Decisive Naval Battle Doctrine;High;L46026;x
20085;Chief of Navy;Petra Dumev;42;FA;Indirect Approach Doctrine;High;M20085;x
20086;Chief of Navy;Nikola Mandic;43;NS;Base Control Doctrine;High;M20086;x
20087;Chief of Navy;H.R.H. Pavle Karadjordjevic;44;ML;Power Projection Doctrine;Very High;M20001;x
20090;Chief of Air Force;Petra Dumev;42;FA;Vertical Envelopment Doctrine;Medium;M20085;x
20091;Chief of Air Force;Ademaga Mesic;43;NS;Army Aviation Doctrine;Medium;M20091;x
20092;Chief of Air Force;Petar Vukcevic;44;ML;Naval Aviation Doctrine;Medium;L46062;x
20093;Chief of Air Force;Ivan Ribar;36;LWR;Air Superiority Doctrine;High;M20093;x
20094;Head of State;H.M. Petar II;41;SC;Benevolent Gentleman;High;M20011;x
20095;Head of State;H.M. Petar II;41;FA;Barking Buffoon;High;M20011;x
20096;Head of State;H.M. Petar II;41;NS;Popular Figurehead;High;M20011;x
20097;Foreign Minister;Momcilo Nincic;41;FA;The Cloak N Dagger Schemer;Medium;M20013;x
20100;Chief of Staff;Koca Popovic;36;LWR;School of Mass Combat;High;M20025;x
20101;Chief of Army;Josip Broz;36;LWR;Armoured Spearhead Doctrine;High;M20028;x
20102;Chief of Navy;Josip Broz;36;LWR;Indirect Approach Doctrine;High;M20029;x
20011;Head of State;H.M. Petar II;36;ML;Autocratic Charmer;High;M20011;x
20012;Head of Government;Draza Mihailovic;36;ML;Naive Optimist;High;M20012;x
20014;Minister of Armament;Ivan Subasic;36;ML;Infantry Proponent;Medium;M20014;x
20016;Head of Military Intelligence;Miroslav Spalaikovic;36;ML;Technical Specialist;High;M20016;x
20017;Chief of Staff;Mihailo Lukic;36;ML;School of Manoeuvre;High;L46020;x
20030;Chief of Air Force;Josip Broz;36;LWR;Army Aviation Doctrine;Medium;M20028;x
20103;Foreign Minister;Koca Popovic;53;LWR;The Cloak N Dagger Schemer;Very High;M20025;x
20104;Minister of Armament;Ivan Gosnjak;53;LWR;Infantry Proponent;High;M20104;x
20105;Minister of Security;Vladimir Simic;53;LWR;Compassionate Gentleman;Medium;M20105;x
20106;Head of Military Intelligence;Milovan Djilas;53;SD;Political Specialist;High;M20106;x
