U78;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
97800;Costa Rican Oil;T5900;2;1930;1970;industrial_engineering;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97801;IDC;T5901;3;1930;1970;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97802;Minas d'Oro de CDC;T5902;3;1930;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97804;United Fruit Company;T5209;3;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97805;Caucho Semillero S.A.;T7900;2;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97806;Mahler Fruta S.A.;T7901;1;1930;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97807;Universidad de San Carlos de Guatemala;T7903;2;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97808;Banco Honduras S.A.;T7800;2;1930;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97809;Penitenciaria Central S.A.;T7801;2;1930;1970;chemistry;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97810;Escuela de Aviación Militar;T7803;5;1930;1970;piloting;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97811;Nicaraguan Oil;T5800;2;1930;1970;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97812;NSSL;T5801;3;1930;1970;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97813;Compañía d'Oro de Divisadero;T8000;3;1930;1970;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97814;Compañía Imberton;T8001;3;1930;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97815;Ferretería Ferrominera;T8002;4;1930;1970;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97816;Lido Industrias;T8003;5;1930;1970;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97817;Puerto de Acajutla;T8004;3;1930;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97818;National Army;T97818;3;1930;1970;infantry_focus;training;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97819;National Armada;T97819;3;1930;1970;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97820;Ministry of Science & Technology;T97820;5;1930;1970;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
