CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10300;Bethlehem Steel Corporation San Francisco;T10300;5;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10301;California Institute of Technology;T10301;4;1930;1970;mathematics;mechanics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10302;California Shipbuilding Corporation;T10302;6;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10303;Camp Pendleton;T10303;6;1930;1970;artillery;general_equipment;naval_engineering;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10304;Chrysler Motors of California;T10304;7;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10305;Lawrence Berkeley National Laboratory;T10305;6;1930;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10306;Lockheed;T10306;6;1930;1970;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10307;North American Aviation;T10307;7;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10308;Southern Pacific Railroad;T10308;5;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10309;Standard Oil of California;T117;8;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10310;Stanford University;T10310;5;1930;1970;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10311;Western Pacific Railroad;T10311;5;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10312;The Presidio;T10312;6;1930;1970;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10313;California Maritime Academy;T10313;6;1930;1970;naval_training;seamanship;management;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10314;San Diego Naval Bases;T10314;7;1930;1970;submarine_tactics;seamanship;naval_training;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10315;Muroc Army Air Field;T10315;5;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
