MEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Specialit  y4;Speciality5;Speciality6;Speciality7;Speciality8  ;Speciality9;Speciality10;Speciality11;Speciality1  2;Speciality13;Speciality14;Speciality15;Specialit  y16;Speciality17;Speciality18;Speciality19;Special  ity20;Speciality21;Speciality22;Speciality23;Speci  ality24;Speciality25;Speciality26;Speciality27;Spe  ciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
64000;Mengkukuo Railway Co.;T64000;4;1930;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64001;Hsingan bureau;T1909;5;1930;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64002;Mengkukuo Colonial Co.;T64002;4;1930;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64003;Yoshio Kozuki;T64003;5;1940;1970;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64004;Kanji Tsuneoka;team_noimage;4;1930;1938;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64005;Kumataro Honda;T64005;6;1939;1970;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64007;Yoshijiro Umezu;T64007;3;1939;1970;aircraft_testing;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64008;Hohhot Arsenal;T13;5;1930;1970;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64009;Mengkukuo Zaibatsu Empire;T1902;4;1930;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
64010;Kalgan Central Academy;T1003;4;1930;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
