PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2600;El Callao;T2600;4;1930;1970;naval_engineering;industrial_engineering;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2601;FNA;T2601;3;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2602;Cooperación del Peru;T2602;4;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2603;Transporte de Picos SA;T2603;4;1930;1970;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2604;Chorillos Military Academy;T2604;4;1930;1970;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2605;Ramón Castillo;T2605;3;1930;1940;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2606;Navy General Staff College;T2606;5;1930;1970;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2607;Luis Navarreté;T2607;4;1942;1960;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2608;Paul de Beaudiez;T2608;5;1930;1939;training;general_equipment;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2609;Fernando M. Quesada Blanco;T2609;4;1941;1960;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2610;Pedro Paulet;T2610;5;1930;1945;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
