ROM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2901;Carbosin;T2901;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2902;DT-UDR;T2902;4;1930;1970;mechanics;artillery;training;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2903;IAR;T2903;6;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2904;Malaxa Works;T2904;5;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2906;Orita;T2906;4;1930;1970;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2907;MAN;T2907;6;1930;1970;electronics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2908;Emanoil Ionescu;T2908;6;1944;1970;bomber_tactics;combined_arms_focus;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2909;Gheorghe Jienescu;T2909;4;1930;1945;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2910;Horia Macellariu;T2910;2;1930;1945;submarine_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2911;Ion Antonescu;T2911;5;1930;1946;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2912;Mihail Lascar;T2912;6;1945;1950;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2913;Henri Coanda;T2913;5;1930;1944;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2914;University of Bucharest;T2914;3;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2915;Ministry of National Defence;T2915;4;1945;1970;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
