RSI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7700;FIAT;T1808;5;1930;1970;mechanics;artillery;management;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7701;Macchi;T1810;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7702;Adriano Visconti;T7702;3;1930;1970;bomber_tactics;centralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7703;Rodolfo Graziani;T1819;3;1930;1955;training;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7704;Gastone Gambara;T7704;3;1930;1970;combined_arms_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7705;Junio Valerio Borghese;T7705;4;1930;1970;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7706;Pier Angelo Brandimarte;T7706;3;1930;1970;centralized_execution;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7707;Beretta;T1801;4;1930;1970;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7708;Cantieri Ansaldo;T1804;4;1930;1970;naval_engineering;naval_artillery;electronics;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7709;Lancia;T1812;4;1930;1970;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7710;Societá Montecatini;T1820;4;1930;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
