SCO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13000;Blackburn Aircraft Company;T13000;5;1930;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13001;Gloster Aircraft Company;T13001;7;1930;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13002;Harland & Wolff;T13002;7;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13003;Rosyth Dockyard;T13003;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13004;Scottish Ordnance Factories;T13004;6;1930;1970;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13005;Scottish Railways;T13005;6;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13006;University of Edinburgh;T13006;4;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13013;Fort George;T13013;5;1930;1970;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13014;Scottish Navy;T13014;4;1930;1970;naval_training;small_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13015;Banff Air Base;T13015;5;1930;1970;bomber_tactics;fighter_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
