SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15800;Belgrade University;T15800;2;1930;1970;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15801;Ikarus;T3800;4;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15802;Industrija Aeroplanskih Motora;T3801;3;1930;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15803;Jadransko Brodogradiliste;T3802;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15804;Memorandum Teleoptik;T3803;5;1930;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15805;Mikron;T3804;4;1930;1970;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15806;Serbian State Railways;T3805;5;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15807;Zastava Arsenal;T3812;5;1930;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15808;Zivojin Rogozarski;T3806;3;1930;1970;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15809;ZMAJ;T3807;4;1930;1970;naval_engineering;aeronautics;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15810;Belgrade Military Academy;T10401;3;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
