TRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14700;Aviadvigatel;T14700;5;1939;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14701;Chelyabinsk Tractor Plant;T14701;5;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14702;Chelyabinsk-65;T14702;4;1942;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14703;Izhevsk Electromechanical Plant;T14703;5;1945;1970;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14704;Izhevsk Ordnance and Steel Plant;T14704;7;1930;1970;mechanics;artillery;general_equipment;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14705;Kurganmashzavod;T14705;6;1930;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14706;Nizny Tagil Factories;T3712;4;1930;1970;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14707;Sverdlovsk-44;T14702;4;1944;1970;nuclear_physics;nuclear_engineering;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14708;Uralvagonzavod;T14708;6;1930;1970;mechanics;artillery;technical_efficiency;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14709;Votkinsky Zavod Association;T14709;6;1930;1970;industrial_engineering;mechanics;chemistry;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14710;Chelyabinsk Military Academy;T10401;4;1930;1970;large_unit_tactics;infantry_focus;combined_arms_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14711;Transural Air Force Cadet Center;T10402;3;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
