UCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1099;CAMCO;T1000;5;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1098;Dading Engine Factory;T1001;5;1930;1970;aeronautics;electronics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1097;Hanyang Arsenal;T1002;6;1930;1970;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1096;Chung Hing Coal Company;T1004;6;1930;1970;industrial_engineering;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1095;Alexander von Falkenhausen;T1005;6;1930;1970;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1094;Claire Chennault;T1007;6;1970;1970;fighter_tactics;bomber_tactics;piloting;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1093;Republic of China Air Force;T1008;6;1930;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1092;Republic of China Navy;T1009;7;1930;1970;small_taskforce_tactics;naval_training;seamanship;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1091;Kiangnan Dock and Engineering Works;T1010;7;1930;1970;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1090;Shiing-shen Chern;T1011;7;1930;1970;mathematics;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1089;Academia Sinica;T1012;7;1930;1970;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1088;Huangpu Military Academy;T1013;8;1930;1970;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1087;China National Aviation Corporation;T1014;8;1930;1970;aeronautics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1086;Chang'an;T1015;9;1930;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1085;National Machine Works;T8500;3;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1084;China Development & Finance Corp.;T1018;2;1930;1970;industrial_engineering;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
