UCS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13899;Consolidated Aircraft Corporation;T13800;7;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13898;Fort Bliss Air Defence Center;T13801;7;1930;1970;artillery;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13897;Houston Shipbuilding Corporation;T13803;7;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13896;Humble Oil and Refining Company;T13804;8;1930;1970;industrial_engineering;chemistry;management;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13895;Lone Star Aviation;T13805;7;1930;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13894;Southern Pacific Railroad;T13806;6;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13893;Texas & Pacific Railroad;T13807;7;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13892;Texas A&M University;T13808;6;1930;1970;mechanics;chemistry;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13891;Texas Oil Company;T118;9;1930;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13890;University of Texas;T13810;4;1930;1970;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13889;White Sands Proving Ground;T13811;6;1930;1970;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13888;Fort Hood;T13812;8;1930;1970;infantry_focus;centralized_execution;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13887;Houston Naval Bases;T13803;6;1930;1970;submarine_tactics;carrier_tactics;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13886;Naval Air Station Corpus Christi;T13814;5;1930;1970;aircraft_testing;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13885;San Antonio Aviation Cadet Center;T13815;5;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
