UGS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3299;Arne Beurling;T3200;6;1930;1970;mathematics;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3298;Bofors AB;T3201;8;1930;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3297;Husqvarna;T3203;9;1930;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3296;Karlskrona Naval Yard;T3204;7;1930;1970;naval_engineering;naval_artillery;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3295;Landsverk AB;T3206;7;1930;1970;mechanics;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3294;LM Ericsson;T3207;7;1930;1970;electronics;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3293;SAAB;T3208;7;1930;1970;aeronautics;industrial_engineering;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3292;Scania-Vabis;T3209;7;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3291;Bengt Nordenskiöld;T3211;7;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3290;Helge Jung;T3212;8;1930;1970;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3289;The Svedberg;T3213;6;1930;1970;nuclear_physics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3288;Olof Thörnell;T3214;5;1930;1970;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3287;Charles de Champs;T3215;6;1930;1970;large_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3286;Gösta Ehrensvärd;T3216;5;1930;1970;large_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3285;Manne Siegbahn;T3217;6;1930;1970;nuclear_physics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
