UIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9199;Luang Phibunsongkhram;T9100;5;1930;1970;aeronautics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9198;Marshal of the Navy;T9101;7;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9197;Luang Kajsongkram;T9102;6;1930;1970;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9196;Luang Sinthusongkhramchai;T9103;3;1930;1970;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9195;Bangkok Dockyard;T6;7;1930;1970;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9194;Bangkok Arsenal;T13;6;1930;1970;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9193;Royal Aeronautical Services;T6401;4;1930;1970;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9192;Hanoi Aerospace Company;T11403;8;1930;1970;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9191;Hanoi Arsenal;T9800;6;1930;1970;aeronautics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9190;Hanoi University of Technology;T14302;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9189;Vietnam Maritime University;T14403;7;1930;1970;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9188;Vietnam Military Academy;T10401;8;1930;1970;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9187;Rangoon University;T10000;3;1930;1970;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9186;Bo Mya;T10003;5;1930;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9185;Archibald Cochrane;T10002;7;1930;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9184;Union of Burma Railways;T10001;9;1930;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
