UIR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
23099;Defence Research & Development Organisation;T11401;9;1930;1970;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23098;Garden Reach Workshop;T23002;8;1930;1970;naval_engineering;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23097;Hindustan Aircraft Limited;T11403;8;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23096;Indian Academy of Sciences;T11404;7;1930;1970;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23095;Indian Government Railways;T11406;7;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23094;J.R.D. Tata;T11407;7;1930;1970;industrial_engineering;technical_efficiency;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23093;Mazagon Dock Limited;T11408;7;1930;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23092;Military Engineering Services;T11409;7;1930;1970;management;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23091;Ordnance Factories Board;T11410;6;1930;1970;mechanics;artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23090;Shri Ghanshyam Das Birla;T11411;5;1930;1970;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23089;University of Delhi;T11412;5;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23088;Venkata Raman;T11415;6;1930;1970;management;training;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23087;Victor Lord Linlithgow;T11418;6;1930;1970;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23086;William E. Parry;T11419;6;1930;1970;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23085;Aspy Merwan Engineer;T11420;6;1930;1970;bomber_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
