URO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1899;Breda;T1802;3;1930;1970;aeronautics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1898;Cantieri Navali Riuniti;T1805;7;1930;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1897;Lancia;T1812;6;1930;1970;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1896;Arturo Riccardi;T1813;8;1930;1970;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1895;Italo Balbo;T1815;7;1930;1970;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1894;Pietro Badoglio;T1817;6;1930;1970;training;centralized_execution;infantry_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1893;Giulio Natta;T1821;4;1930;1970;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1892;Daimler;T600;8;1930;1970;mechanics;industrial_engineering;general_equipment;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1891;Hirtenberger;T601;6;1930;1970;aeronautics;technical_efficiency;artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1890;Pintsch;T602;4;1930;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1889;Steyr;T603;7;1930;1970;mechanics;general_equipment;training;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1888;Alexander Löhr;T604;8;1930;1970;bomber_tactics;combined_arms_focus;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1887;Johann Kubena;T605;3;1930;1970;large_unit_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1886;Julius Yllam;T606;5;1930;1970;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1885;Lothar Rendulic;T607;7;1930;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1884;Erwin Schrödinger;T608;9;1930;1970;nuclear_physics;mathematics;mechanics;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
