UTC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2999;Carbosin;T2901;7;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2998;DT-UDR;T2902;7;1930;1970;mechanics;artillery;training;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2997;MAN;T2907;9;1930;1970;electronics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2996;Ministry of National Defence;T2915;6;1930;1970;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2995;Horia Macellariu;T2916;5;1930;1970;submarine_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2994;Ion Antonescu;T2908;8;1930;1970;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2993;61 Kommunara Nikolayev Shipyards;T3700;6;1930;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2992;Kharkov Aviation Institute;T14005;8;1930;1970;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2991;Kiev University;T14006;6;1930;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2990;Morozov Design Bureau;T14007;7;1930;1970;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2989;Motor-Sich;T14008;7;1930;1970;mechanics;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2988;Tupolev Design Bureau;T3714;7;1930;1970;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2987;Kiev Military Academy;T10401;6;1930;1970;large_unit_tactics;combined_arms_focus;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2986;Odessa State Maritime Academy;T14011;6;1930;1970;naval_training;seamanship;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2985;Charkov Air Command Center;T10402;5;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
