allowed_brigades =  escort
# 0 - Basic Naval Bomber
model = {
	cost 						= 13
	buildtime					= 180
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 2
	maxspeed					= 200
	surfacedetectioncapability	= 1
	airdetectioncapability		= 0
	surfacedefence				= 6
	airdefence					= 2
	airattack					= 1
	strategicattack				= 0
	softattack					= 1
	hardattack					= 1
	navalattack					= 4
	range						= 800
	supplyconsumption 			= 1.0
	fuelconsumption				= 3
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 1 - Improved Naval Bomber
model = {
	cost 						= 16
	buildtime					= 180
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 2
	maxspeed					= 300
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 7
	airdefence					= 3
	airattack					= 2
	strategicattack				= 0
	softattack					= 1
	hardattack					= 2
	navalattack					= 7
	range						= 1000
	supplyconsumption 			= 1.2
	fuelconsumption				= 3
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 2 - Advanced Naval Bomber
model = {
	cost 						= 18
	buildtime					= 180
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 3
	maxspeed					= 350
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 8
	airdefence					= 4
	airattack					= 2
	strategicattack				= 0
	softattack					= 2
	hardattack					= 3
	navalattack					= 9
	range						= 1300
	supplyconsumption 			= 1.4
	fuelconsumption				= 3.2
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 3 - Turbojet Naval Bomber
model = {
	cost 						= 21
	buildtime					= 180
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 3
	maxspeed					= 400
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 10
	airdefence					= 5 #4
	airattack					= 4 #3
	strategicattack				= 2
	softattack					= 2
	hardattack					= 4
	navalattack					= 11
	range						= 1300
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 4 - Improved Turbojet Naval Bomber
model = {
	cost 						= 21
	buildtime					= 180
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 3
	maxspeed					= 500
	surfacedetectioncapability	= 2
	airdetectioncapability		= 1
	surfacedefence				= 12
	airdefence					= 6 #5
	airattack					= 4 #3
	strategicattack				= 3
	softattack					= 2
	hardattack					= 5
	navalattack					= 13
	range						= 1400
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
