# 0 - Nuclear
model = {
	cost						= 8
	buildtime					= 320
	defaultorganisation 				= 30
	morale						= 30
	manpower					= 0.5
	maxspeed					= 25
	surfacedetectioncapability			= 7
	airdetectioncapability				= 1
	subdetectioncapability				= 5
	visibility					= 1
	seadefence					= 13
	airdefence					= 16
	seaattack					= 7
	convoyattack					= 14
	subattack					= 15
	airattack					= 1
	shorebombardment				= 0
	transportcapability				= 0
	
	range						= 8000
	supplyconsumption				= 1.9
	fuelconsumption					= 0
	distance					= 0.2
}
