allowed_brigades =  escort
# 0 - Basic Strategic Bomber
model = {
	cost 					= 20
	buildtime				= 208
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 2
	maxspeed				= 250
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 9
	airdefence				= 8
	airattack				= 1
	strategicattack				= 12
	softattack				= 2
	hardattack				= 1
	navalattack				= 2
	range					= 800
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 1 - Improved Strategic Bomber
model = {
	cost 					= 22
	buildtime				= 220
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 2
	maxspeed				= 300
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 12
	airdefence				= 10
	airattack				= 2
	strategicattack				= 16
	softattack				= 3
	hardattack				= 2
	navalattack				= 3
	range					= 1000
	supplyconsumption 			= 2.2
	fuelconsumption				= 3.2
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 2 - Advanced Strategic Bomber
model = {
	cost 					= 24
	buildtime				= 228
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 2
	maxspeed				= 350
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 16
	airdefence				= 12
	airattack				= 2
	strategicattack				= 22
	softattack				= 5
	hardattack				= 3
	navalattack				= 5
	range					= 1300
	supplyconsumption 			= 2.5
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0

}
# 3 - Turbojet Strategic Bomber
model = {
	cost 					= 27
	buildtime				= 234
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 2
	maxspeed				= 650
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 20
	airdefence				= 18
	airattack				= 4
	strategicattack				= 35
	softattack				= 6
	hardattack				= 4
	navalattack				= 6
	range					= 1300
	supplyconsumption 			= 3.0
	fuelconsumption				= 4.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 4 - Improved Turbojet Strategic Bomber
model = {
	cost 					= 30
	buildtime				= 234
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 2
	maxspeed				= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 23
	airdefence				= 20
	airattack				= 5
	strategicattack				= 45
	softattack				= 7
	hardattack				= 5
	navalattack				= 7
	range					= 1400
	supplyconsumption 			= 3.5
	fuelconsumption				= 4.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
# 5 - Intercontinental Strategic Bomber
model = {
	cost 						= 40
	buildtime					= 234
	defaultorganisation 		= 30
	morale						= 30
	manpower					= 2
	maxspeed					= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 27
	airdefence					= 25
	airattack					= 5
	strategicattack				= 50
	softattack					= 7
	hardattack					= 5
	navalattack					= 7
	range						= 3000
	supplyconsumption 			= 4.5
	fuelconsumption				= 5.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
}
