MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;X
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_BLIZZARD;-70;-70;-70;-70;-70;-70;-66;-66;-50;-80;-80;-80;-100;-100;-100;-100;-100;-100;-100;0;0;-80;-80;-80;-80;-80;-100;-100;-80;-80;-80;X
ATT_SNOW;-50;-50;-50;-50;-50;-50;-50;-50;-20;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-80;-80;-10;-10;-25;X
ATT_FROZEN;-60;-60;-60;-60;-60;-60;-60;-60;0;-60;-60;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_RAIN;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-30;-30;-30;-30;-30;-30;-30;0;0;-10;-10;-10;-10;-10;-80;-80;-5;-5;-10;X
ATT_STORM;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-100;-100;-100;-100;-100;-100;-100;0;0;-50;-50;-50;-50;-50;-100;-100;-50;-50;-50;X
ATT_MUDDY;-75;-75;-150;-110;-110;-110;-75;-50;-75;-75;-75;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_NIGHT;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;0;0;-50;-50;-50;-50;-50;-80;-80;15;15;-50;X
ATT_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_DESERT;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_MOUNTAIN;-50;-50;-70;-70;-80;-80;-40;-40;-20;-50;-50;-50;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;X
ATT_HILL;-25;-25;-33;-33;-33;-33;-25;-25;0;-25;-25;-25;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;X
ATT_FOREST;-10;-10;-20;-20;-20;-20;0;0;0;-10;-10;-10;-20;-20;-20;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;X
ATT_JUNGLE;-33;-33;-66;-66;-66;-66;-15;-15;-15;-33;-33;-33;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;X
ATT_SWAMP;-25;-25;-50;-50;-50;-50;-15;-5;-15;-33;-33;-33;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;X
ATT_URBAN;-25;-25;-25;-33;-55;-55;-20;-20;-20;-25;-25;-25;-15;-15;-15;-15;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;X
ATT_RIVER;-50;-50;-66;-66;-66;-66;-33;-20;-20;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_SHORE;-50;-75;-66;-66;-66;-66;-33;-20;-33;-75;-75;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_FORT;-10;-20;-20;-20;-20;-20;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;-33;-33;-33;-33;-33;-33;-33;-33;-10;-33;-33;-33;-100;-100;-100;-100;-100;-100;-100;0;0;-80;-80;-80;-80;-80;-100;-100;-80;-80;-80;X
DEF_SNOW;0;-10;-10;-10;-10;-10;0;0;50;0;0;0;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-80;-80;-10;-10;-25;X
