##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(W transporcie);(Embarked);(Embarked);;;X
PROV1;Reykjavik;Reykjavik;Reykjavik;Reikiavik;Reykjavik;Reykjavik;Reykjavik;Рейкьявик;;;X
PROV2;Torshavn;Torshavn;Torshavn;Torshaven;Torshavn;Torshavn;Torshavn;Торсхавн;;;X
PROV3;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Акурейри;;;X
PROV4;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Сторноуэй;;;X
PROV5;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Скапа-Флоу;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Инвернесс;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Абердин;;;X
PROV8;Fort William;Fort William;Fort William;Fuerte William;Fort William;Fort William;Fort William;Форт-Уильям;;;X
PROV9;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Леруик;;;X
PROV10;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Дамфрис;;;X
PROV11;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Глазго;;;X
PROV12;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Эдинбург;;;X
PROV13;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Сандерленд;;;X
PROV14;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Карлайл;;;X
PROV15;Hull;Hull;Hull;Hull;Hull;Hull;Hull;Халл ;;;X
PROV16;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Линкольн;;;X
PROV17;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Манчестер;;;X
PROV18;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Шеффилд;;;X
PROV19;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Бристоль;;;X
PROV20;Exeter;Exeter;Exeter;Exeter;Exeter;Exeter;Exeter;Эксетер;;;X
PROV21;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Caernarfon;Кэрнарфон;;;X
PROV22;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Кардифф;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Плимут;;;X
PROV24;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Бирмингем;;;X
PROV25;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Норвич ;;;X
PROV26;Dover;Dover;Dover;Dover;Dover;Dover;Dover;Дувр;;;X
PROV27;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Портсмут;;;X
PROV28;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Оксфорд;;;X
PROV29;London;London;London;Londres;London;London;London;Лондон;;;X
PROV30;Waterford;Waterford;Waterford;Waterford;Waterford;Waterford;Waterford;Уотерфорд;;;X
PROV31;Cork;Cork;Cork;Cork;Cork;Cork;Cork;Корк;;;X
PROV32;Galway;Galway;Galway;Galway;Galway;Galway;Galway;Голуэй;;;X
PROV33;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Letterkenny;Леттеркенни;;;X
PROV34;Dublin;Dublin;Dublin;Dublнn;Dublin;Dublin;Dublin;Дублин;;;X
PROV35;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Лондондерри;;;X
PROV36;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Белфаст;;;X
PROV37;Brest;Brest;Brest;Brest;Brest;Brest;Brest;Брест;;;X
PROV38;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Ренн;;;X
PROV39;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Лорьян;;;X
PROV40;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Saint-Nazaire;Сен-Назер;;;X
PROV41;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;Сэнт-Брие;;;X
PROV42;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Авранш;;;X
PROV43;Cherbourg;Cherbourg;Cherbourg;Cherburgo;Cherbourg;Cherbourg;Cherbourg;Шербур;;;X
PROV44;Caen;Caen;Caen;Caen;Caen;Caen;Caen;Кан;;;X
PROV45;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Гавр;;;X
PROV46;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Bayeux;Байе;;;X
PROV47;Falaise;Falaise;Falaise;Falaise;Falaise;Falaise;Falaise;Фалез;;;X
