From;To;Type;Through;Comment
##############################################################################;;;;
# China Border;;;;
##############################################################################;;;;
1306;1327;Impassable;0;Indo China Border
1306;1305;Impassable;0;Indo China Border
1328;1329;Impassable;0;Indo China Border
1304;1305;Impassable;0;Indo China Border
##############################################################################;;;;
# Canals;;;;
##############################################################################;;;;
2476;2473;Canal;90;The Kiel Canal
##############################################################################;;;;
# Rivers(fjords) in Norway;;;;
##############################################################################;;;;
110;117;River;0;Sognefjorden
109;110;River;0;Hardangerfjorden
##############################################################################;;;;
# Swedish Rivers;;;;
##############################################################################;;;;
106;105;River;0;Klarälven
106;112;River;0;Klarälven
107;112;River;0;Klarälven
111;112;River;0;Klarälven
111;115;River;0;Klarälven
114;102;River;0;Dalälven
114;104;River;0;Dalälven
113;104;River;0;Dalälven
113;112;River;0;Dalälven
113;115;River;0;Dalälven
115;119;River;0;Dalälven
122;120;River;0;Umeälv
122;121;River;0;Umeälv
121;123;River;0;Umeälv
127;122;River;0;Luleälv
123;127;River;0;Luleälv
123;126;River;0;Luleälv
##############################################################################;;;;
# Finnish Rivers;;;;
##############################################################################;;;;
127;131;River;0;Torne River
126;131;River;0;Torne River
126;130;River;0;Torne River
152;185;River;0;Syväri
147;149;River;0;Saimaa
144;149;River;0;Saimaa
144;146;River;0;Saimaa
145;146;River;0;Saimaa
145;187;River;0;Neva
##############################################################################;;;;
# Baltic Rivers;;;;
##############################################################################;;;;
197;204;River;0;Western Dvina
197;203;River;0;Western Dvina
202;203;River;0;Western Dvina
202;214;River;0;Western Dvina
1874;214;River;0;Western Dvina
1874;218;River;0;Western Dvina
217;218;River;0;Western Dvina
217;219;River;0;Western Dvina
193;188;River;0;Narva
##############################################################################;;;;
# Rivers in Spain;;;;
##############################################################################;;;;
355;340;River;0;Jalon
339;333;River;0;Duero
339;335;River;0;Duero
343;341;River;0;Tagus
342;341;River;0;Tagus
353;343;River;0;Guadiana
353;351;River;0;Guadalquivir
351;347;River;0;Genil
351;349;River;0;Genil
354;352;River;0;Cabriel
354;353;River;0;Cabriel
##############################################################################;;;;
# Rivers in Italy;;;;
##############################################################################;;;;
531;368;River;0;Po
531;370;River;0;Po
##############################################################################;;;;
# Elbe;;;;
##############################################################################;;;;
469;470;River;0;Elbe
471;472;River;0;Elbe
471;309;River;0;Elbe
311;309;River;0;Elbe
310;309;River;0;Elbe
310;299;River;0;Elbe
298;299;River;0;Elbe
298;296;River;0;Elbe
297;296;River;0;Elbe
297;89;River;0;Elbe
85;89;River;0;Elbe
86;89;River;0;Elbe
86;88;River;0;Elbe
87;88;River;0;Elbe
87;90;River;0;Elbe
470;472;River;0;Elbe
470;468;River;0;Elbe
466;468;River;0;Elbe
##############################################################################;;;;
# Danube;;;;
##############################################################################;;;;
312;374;River;0;Danube
312;376;River;0;Danube
374;314;River;0;Danube
375;376;River;0;Danube
462;465;River;0;Danube
465;463;River;0;Danube
463;464;River;0;Danube
463;476;River;0;Danube
458;476;River;0;Danube
457;476;River;0;Danube
457;491;River;0;Danube
456;492;River;0;Danube
454;493;River;0;Danube
454;494;River;0;Danube
453;494;River;0;Danube
418;494;River;0;Danube
418;495;River;0;Danube
418;426;River;0;Danube
419;426;River;0;Danube
420;426;River;0;Danube
420;424;River;0;Danube
423;424;River;0;Danube
376;465;River;0;Danube
457;492;River;0;Danube
454;492;River;0;Danube
432;436;River;0;Danube
433;436;River;0;Danube
435;436;River;0;Danube
462;463;River;0;Enns
462;461;River;0;Enns
##############################################################################;;;;
# Rhine;;;;
##############################################################################;;;;
529;533;River;0;Rhine
317;316;River;0;Rhine
72;73;River;0;Rhine
71;74;River;0;Rhine
66;76;River;0;Rhine
66;67;River;0;Rhine
75;67;River;0;Rhine
75;76;River;0;Rhine
317;73;River;0;mosel
75;74;River;0;Mosel
74;76;River;0;Rhine
74;82;River;0;Rhine
74;313;River;0;Rhine
314;313;River;0;Rhine
73;314;River;0;Rhine
73;315;River;0;Rhine
316;315;River;0;Rhine
533;315;River;0;Rhine
49;47;River;0;Rhine
##############################################################################;;;;
# Weser River;;;;
##############################################################################;;;;
80;87;River;0;Weser
80;86;River;0;Weser
81;86;River;0;Weser
81;85;River;0;Weser
82;85;River;0;Weser
##############################################################################;;;;
# Italian Rivers;;;;
##############################################################################;;;;
368;370;River;0;Po
369;370;River;0;Po
512;370;River;0;Po
379;370;River;0;Po
379;378;River;0;Po
518;521;River;0;Tiber
519;521;River;0;Tiber
##############################################################################;;;;
# Polish Rivers;;;;
##############################################################################;;;;
303;304;River;0;Vistula
306;304;River;0;Vistula
306;305;River;0;Vistula
483;305;River;0;Vistula
484;305;River;0;Vistula
484;485;River;0;Vistula
484;487;River;0;Vistula
480;487;River;0;Vistula
480;488;River;0;Vistula
480;489;River;0;Vistula
480;479;River;0;Vistula
300;308;River;0;Oder
301;302;River;0;Oder
301;308;River;0;Oder
309;308;River;0;Oder
473;308;River;0;Oder
473;482;River;0;Oder
473;479;River;0;Oder
474;479;River;0;Oder
474;478;River;0;Oder
488;506;River;0;Bug
305;485;River;0;Bug
485;486;River;0;Bug
487;486;River;0;Bug
487;506;River;0;Bug
487;505;River;0;Bug
487;504;River;0;Bug
305;486;River;0;Narew
509;486;River;0;Narew
509;505;River;0;Narew
509;508;River;0;Narew
505;508;River;0;Narew
##############################################################################;;;;
# Romanian Rivers;;;;
##############################################################################;;;;
434;233;River;0;Dnister
434;232;River;0;Dnister
230;232;River;0;Dnister
230;231;River;0;Dnister
230;229;River;0;Dnister
500;229;River;0;Dnister
435;433;River;0;Prut
230;433;River;0;Prut
432;433;River;0;Siret
429;433;River;0;Siret
426;425;River;0;Ult
426;424;River;0;Ult
##############################################################################;;;;
# Rivers in Hungary;;;;
##############################################################################;;;;
456;454;River;0;Drava
456;455;River;0;Drava
458;455;River;0;Drava
458;459;River;0;Drava
460;459;River;0;Drava
493;494;River;0;Tisa
492;494;River;0;Tisa
492;497;River;0;Tisa
491;497;River;0;Tisa
494;497;River;0;Mures
495;497;River;0;Mures
495;496;River;0;Mures
##############################################################################;;;;
